accuracy,checkpoint_task,evaluation_scope,first_seen_task,local_time_mae,nll_per_event,regime_id,variant
0.07390791027154664,0,ood_unseen,1,1.463953115019635,3.8459683937333975,B_1,frozen/full
0.13871374527112232,0,ood_unseen,2,1.076359714926567,3.258135182018689,C_1,frozen/full
0.07840828820343772,0,ood_unseen,4,1.462228561699573,3.799152450615416,B_prime_1,frozen/full
0.3049962714392245,0,ood_unseen,5,1.2131421660239086,3.154205938609951,A_2,frozen/full
0.2531525101118249,0,ood_unseen,,1.1304369819127404,3.1744713321516067,X_transient,frozen/full
0.326496138996139,0,ood_unseen,7,1.1459078383721901,3.0129409517560686,A_merge,frozen/full
0.15026921194322077,0,ood_unseen,9,1.1056812153805486,3.419323540760849,E_1,frozen/full
0.20126103404791928,1,ood_unseen,2,0.9985380362742786,3.098224284880399,C_1,frozen/full
0.24252413468330586,1,ood_unseen,4,1.2054363274984088,3.1630778374435033,B_prime_1,frozen/full
0.11309967685806611,1,ood_unseen,5,1.222857278761744,3.4690724656619216,A_2,frozen/full
0.12776588151320487,1,ood_unseen,,1.1204719434543475,3.3887486554258586,X_transient,frozen/full
0.14792471042471042,1,ood_unseen,7,1.1620599809300485,3.3629677304890166,A_merge,frozen/full
0.13020068526676457,1,ood_unseen,9,1.043630147178676,3.306632375693823,E_1,frozen/full
0.1410407346362138,2,ood_unseen,4,1.1892856618559218,3.368190640529689,B_prime_1,frozen/full
0.08675118071091226,2,ood_unseen,5,1.201149089935553,3.4828791683537434,A_2,frozen/full
0.07328098976921246,2,ood_unseen,,1.0919467173614248,3.4086418723651635,X_transient,frozen/full
0.08928571428571429,2,ood_unseen,7,1.1251176563469139,3.3692411658386465,A_merge,frozen/full
0.08712677435144396,2,ood_unseen,9,0.9916082406475797,3.379426781593207,E_1,frozen/full
0.07417000235460325,3,ood_unseen,4,1.226257948923706,3.457757696983027,B_prime_1,frozen/full
0.2140193885160328,3,ood_unseen,5,1.1848839449995108,3.188611388295378,A_2,frozen/full
0.1732096121817749,3,ood_unseen,,1.0868515025539793,3.1535532749638002,X_transient,frozen/full
0.23214285714285715,3,ood_unseen,7,1.1182177370579547,3.0661752417280868,A_merge,frozen/full
0.21683798335780716,3,ood_unseen,9,1.0180267160334426,3.2518686414990308,E_1,frozen/full
0.19786229182202336,4,ood_unseen,5,1.2095473794655038,3.261654638811453,A_2,frozen/full
0.1670235546038544,4,ood_unseen,,1.1158736095296864,3.2193431758948687,X_transient,frozen/full
0.21742277992277992,4,ood_unseen,7,1.138805899380717,3.1299413419598316,A_merge,frozen/full
0.19701419481155164,4,ood_unseen,9,1.0351385194999707,3.19854739315651,E_1,frozen/full
0.3016892695693552,5,ood_unseen,,1.0852927526292022,3.0850067719544167,X_transient,frozen/full
0.35834942084942084,5,ood_unseen,7,1.1094149981686507,2.941170303978055,A_merge,frozen/full
0.10156632403328439,5,ood_unseen,9,1.015394976368968,3.3432455711719515,E_1,frozen/full
0.1615512729003093,6,ood_unseen,,1.1031503706865584,3.229559917209434,X_transient,frozen/full
0.16361003861003862,6,ood_unseen,7,1.1354166283110394,3.2114981316231392,A_merge,frozen/full
0.10768477728830152,6,ood_unseen,9,1.0175031815098012,3.319923621208949,E_1,frozen/full
0.23221508446347847,7,ood_unseen,,1.0991488249563417,3.132652607640283,X_transient,frozen/full
0.18037200195790504,7,ood_unseen,9,1.03170566120045,3.228184088036177,E_1,frozen/full
0.23364263621222936,8,ood_unseen,,1.09442926116878,3.1159244948502187,X_transient,frozen/full
0.1759667156142927,8,ood_unseen,9,1.0246891240191354,3.2408803826853507,E_1,frozen/full
0.19509873899595526,9,ood_unseen,,1.0711788147539008,3.1752141915756322,X_transient,frozen/full
