expected,formula,left_value,metric,right_value,value,variant
near_zero_or_negative,"L_2,A_1 - L_0,A_1",3.3760420434448273,A_1_retention_before_task3,3.0244728220953485,0.35156922134947877,frozen/full
positive,"L_2,A_1 - L_3,A_1",3.3760420434448273,A_1_exact_recurrence_recovery_task3,3.080465030284247,0.2955770131605804,frozen/full
near_zero_or_negative,"L_5,B_1 - L_4,B_1",3.3822297890042754,B_1_near_recurrence_impact_task5,3.2122072312176018,0.17002255778667363,frozen/full
positive,"L_4,B_prime_1 - L_5,B_prime_1",3.1689157326529664,B_prime_1_near_recurrence_gain_task5,3.327011622174476,-0.15809588952150966,frozen/full
near_zero_or_negative,"L_6,A_1 - L_5,A_1",3.217827295468155,A_1_specialization_impact_task6,2.940566731475416,0.27726056399273924,frozen/full
positive,"L_5,A_2 - L_6,A_2",3.063540256470849,A_2_specialization_gain_task6,3.3309728218019825,-0.26743256533113335,frozen/full
positive,"L_{5,6}^control - L_{6,6}^control",3.326572011860812,controls_task_06_no_transient_transient_control_adaptation_task6,2.8622651048693397,0.46430690699147226,frozen/full
near_zero_or_negative,"(L_{5,6} - L_{6,6}) - (L_{5,6}^control - L_{6,6}^control)",0.4404504708963688,controls_task_06_no_transient_transient_excess_adaptation_task6,0.46430690699147226,-0.02385643609510346,frozen/full
near_zero_or_negative,"L_7,A_1 - L_0,A_1",3.099386862192061,A_1_long_gap_reference_task8,3.0244728220953485,0.07491404009671232,frozen/full
positive,"L_7,A_1 - L_8,A_1",3.099386862192061,A_1_long_gap_recurrence_recovery_task8,3.05011712582558,0.04926973636648091,frozen/full
positive,P_9^pre - P_9^post,3.3735731725183937,E_1_B_1_mixture_adaptation_task9,3.134136974840729,0.23943619767766489,frozen/full
not_available_missing_first_gain,(L_first_pre - L_return_pre) / (L_first_pre - L_first_post),,A_1_rrr_task3,3.410060339679754,,frozen/full
not_available_missing_first_gain,(L_first_pre - L_return_pre) / (L_first_pre - L_first_post),,A_1_rrr_task8,3.1373067050105345,,frozen/full
