checkpoint_task,evaluation_scope,first_seen_task,nise_mean,nise_median,regime_id,sequence_count,variant
0,seen_law,0,0.17152841146488618,0.1681232800834332,A_1,64,frozen/full
0,ood_unseen,5,0.15767779059970768,0.15695353819467311,A_2,64,frozen/full
0,ood_unseen,7,0.1637733272301076,0.1604768595712971,A_merge,64,frozen/full
0,ood_unseen,1,0.816994564351858,0.8178453307772505,B_1,64,frozen/full
0,ood_unseen,4,0.8286233578518135,0.8289105364247903,B_prime_1,64,frozen/full
0,ood_unseen,2,0.6983368197543673,0.693305054068031,C_1,64,frozen/full
0,ood_unseen,9,0.6715021039539991,0.6730286260427796,E_1,64,frozen/full
0,ood_unseen,6,0.2914446624884627,0.27501169150070126,X_transient,64,frozen/full
1,seen_law,0,0.5885927516077136,0.5790880988987537,A_1,64,frozen/full
1,ood_unseen,5,0.592360749008262,0.5883043445718605,A_2,64,frozen/full
1,ood_unseen,7,0.585418840099483,0.5821650610447253,A_merge,64,frozen/full
1,seen_law,1,0.31017132211032117,0.3139342596888042,B_1,64,frozen/full
1,ood_unseen,4,0.3407815810646436,0.3376432499699991,B_prime_1,64,frozen/full
1,ood_unseen,2,0.6294978569860895,0.6325598519906983,C_1,64,frozen/full
1,ood_unseen,9,0.6446270496693415,0.643307831010175,E_1,64,frozen/full
1,ood_unseen,6,0.5899986234204184,0.5849908834109929,X_transient,64,frozen/full
2,seen_law,0,0.946428197881467,0.9671260061683231,A_1,64,frozen/full
2,ood_unseen,5,0.9932315227273968,0.9934920813176096,A_2,64,frozen/full
2,ood_unseen,7,0.993097295357928,0.9940048899374215,A_merge,64,frozen/full
2,seen_law,1,0.643727723604663,0.6100768481323844,B_1,64,frozen/full
2,ood_unseen,4,0.666601180956281,0.6532881192278616,B_prime_1,64,frozen/full
2,seen_law,2,0.07729006155279369,0.07494356364160462,C_1,64,frozen/full
2,ood_unseen,9,0.9505558313845623,0.9497453932191043,E_1,64,frozen/full
2,ood_unseen,6,1.033292429726923,1.03370988577044,X_transient,64,frozen/full
3,seen_law,0,0.2648434429044075,0.25627188680846547,A_1,64,frozen/full
3,ood_unseen,5,0.26498107797883774,0.2665915528006521,A_2,64,frozen/full
3,ood_unseen,7,0.26548172594178376,0.2616571777482294,A_merge,64,frozen/full
3,seen_law,1,0.6727953943858781,0.6726296166397113,B_1,64,frozen/full
3,ood_unseen,4,0.6857088824288675,0.6823856824917071,B_prime_1,64,frozen/full
3,seen_law,2,0.41342529019138274,0.41503901345573657,C_1,64,frozen/full
3,ood_unseen,9,0.5833876715021734,0.5807035625367629,E_1,64,frozen/full
3,ood_unseen,6,0.33552235342078063,0.3261145093771134,X_transient,64,frozen/full
4,seen_law,0,0.3224544632961528,0.319324143904382,A_1,64,frozen/full
4,ood_unseen,5,0.3306035186607224,0.3378729612853918,A_2,64,frozen/full
4,ood_unseen,7,0.32340978115366514,0.32177325840414966,A_merge,64,frozen/full
4,seen_law,1,0.34211315337564224,0.3406838294898884,B_1,64,frozen/full
4,seen_law,4,0.3623860487110414,0.3596865371413207,B_prime_1,64,frozen/full
4,seen_law,2,0.3915469700178604,0.39232921733408427,C_1,64,frozen/full
4,ood_unseen,9,0.5479515194233046,0.5418881325473818,E_1,64,frozen/full
4,ood_unseen,6,0.3860499678093403,0.37824634049593986,X_transient,64,frozen/full
5,seen_law,0,0.02167888926971321,0.02105629851350569,A_1,64,frozen/full
5,seen_law,5,0.015068845819271216,0.015001328748305457,A_2,64,frozen/full
5,ood_unseen,7,0.016706796619765873,0.016644635135553643,A_merge,64,frozen/full
5,seen_law,1,0.5989658115502612,0.5773976880678344,B_1,64,frozen/full
5,seen_law,4,0.6315524104994761,0.6170996020149375,B_prime_1,64,frozen/full
5,seen_law,2,0.7994979438977295,0.8103628117213257,C_1,64,frozen/full
5,ood_unseen,9,0.8377032520541925,0.8452826585956907,E_1,64,frozen/full
5,ood_unseen,6,0.22341981847764858,0.19653742052096804,X_transient,64,frozen/full
