anchor_index,checkpoint,checkpoint_task,evaluation_scope,events,first_seen_task,nise,nise_type_0,nise_type_1,nise_type_2,nise_type_3,nise_type_4,nise_type_5,nise_type_6,nise_type_7,plot_path,regime_id,variant
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,0,seen_law,62,0,0.16773711555125417,0.1644454237289324,0.17531982333568072,0.09440191881930593,0.16243469290084034,0.15234868913338168,0.1815278509776928,0.1714832994468282,0.1243766102455328,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/native/intensity_curves/checkpoint_task_00/A_1_000.png,A_1,frozen/full
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,0,seen_law,69,0,0.15676466239377435,0.1614419300404909,0.15695988913904158,0.09203683635336307,0.16661730654458803,0.1484530211976963,0.18079248317047675,0.15455393646272936,0.14518028670199798,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/native/intensity_curves/checkpoint_task_00/A_1_001.png,A_1,frozen/full
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,0,seen_law,57,0,0.19999543054960722,0.20430759654764769,0.20711201330371445,0.09407962172088244,0.23881152125624966,0.12766803983759928,0.20989483599854716,0.1363153369978463,0.1560470772776217,,A_1,frozen/full
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,0,seen_law,54,0,0.17633543791801068,0.20079894183327088,0.17050416472231825,0.08925295804497413,0.1921807496320793,0.17313671790124605,0.18325748146752385,0.12205980072323679,0.15098087396676593,,A_1,frozen/full
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,0,seen_law,77,0,0.19564764255327852,0.1973584950811625,0.22310564631289526,0.08616772689247337,0.19192320186309075,0.13226134711362691,0.18216264261819323,0.16240747823352886,0.15306259160109104,,A_1,frozen/full
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,0,seen_law,49,0,0.1568138877078813,0.16363411817454393,0.15807621456640164,0.08959323805369614,0.17874270518957447,0.1630341881355468,0.17373903858500508,0.10153501156149364,0.1392227563591052,,A_1,frozen/full
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,0,seen_law,79,0,0.17032735886254255,0.18483479263895525,0.1615572433428737,0.06479953110954924,0.19311509383778946,0.17745253318049825,0.17300003361944918,0.16178746239885392,0.11987779660112399,,A_1,frozen/full
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,0,seen_law,62,0,0.18007079638772702,0.19398314007202694,0.17235034077963265,0.07597304221370117,0.22637446043406792,0.10557993551441608,0.18338953656964072,0.12242747713677342,0.12095113973206448,,A_1,frozen/full
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,0,seen_law,55,0,0.1720264419879259,0.1604767981307282,0.18105485771843766,0.06807719550089092,0.18146481605217768,0.10162366134727806,0.1964883406637062,0.2137384760264901,0.12043903092603483,,A_1,frozen/full
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,0,seen_law,77,0,0.17995887793305537,0.212583182308265,0.1917774479256235,0.08920363645497964,0.18387724585169288,0.17733006854308256,0.18930517952915732,0.15141933817520464,0.1718666194802935,,A_1,frozen/full
