checkpoint_task,regime_id,first_seen_task,baseline_checkpoint_task,baseline_nll_per_event,current_nll_per_event,best_nll_since_first_seen,forgetting_nll,bwt_nll
0,A_1,0,0,2.7779617438663284,2.7779617438663284,2.7779617438663284,0.0,
1,A_1,0,0,2.7779617438663284,3.2510159838046895,2.7779617438663284,0.47305423993836104,-0.47305423993836104
1,B_1,1,1,2.9023294679783027,2.9023294679783027,2.9023294679783027,0.0,
2,A_1,0,0,2.7779617438663284,3.434368484862219,2.7779617438663284,0.6564067409958905,-0.6564067409958905
2,B_1,1,1,2.9023294679783027,3.4587167626918007,2.9023294679783027,0.556387294713498,-0.556387294713498
2,C_1,2,2,2.423635866604717,2.423635866604717,2.423635866604717,0.0,
3,A_1,0,0,2.7779617438663284,2.762453827501813,2.762453827501813,0.0,0.015507916364515317
3,B_1,1,1,2.9023294679783027,3.548408327214697,2.9023294679783027,0.6460788592363942,-0.6460788592363942
3,C_1,2,2,2.423635866604717,3.32200177037939,2.423635866604717,0.898365903774673,-0.898365903774673
4,A_1,0,0,2.7779617438663284,3.3976131934372735,2.762453827501813,0.6351593659354604,-0.6196514495709451
4,B_1,1,1,2.9023294679783027,2.856278845001199,2.856278845001199,0.0,0.04605062297710383
4,B_prime_1,4,4,2.7966237972149175,2.7966237972149175,2.7966237972149175,0.0,
4,C_1,2,2,2.423635866604717,3.255225022430146,2.423635866604717,0.8315891558254291,-0.8315891558254291
5,A_1,0,0,2.7779617438663284,2.752331286258158,2.752331286258158,0.0,0.02563045760817051
5,A_2,5,5,2.876587314899596,2.876587314899596,2.876587314899596,0.0,
5,B_1,1,1,2.9023294679783027,3.512682669398825,2.856278845001199,0.6564038243976262,-0.6103532014205224
5,B_prime_1,4,4,2.7966237972149175,3.464911920272532,2.7966237972149175,0.6682881230576143,-0.6682881230576143
5,C_1,2,2,2.423635866604717,3.2965052530601127,2.423635866604717,0.8728693864553958,-0.8728693864553958
6,A_1,0,0,2.7779617438663284,3.061622816956732,2.752331286258158,0.30929153069857396,-0.28366107309040345
6,A_2,5,5,2.876587314899596,3.1279945614422835,2.876587314899596,0.25140724654268753,-0.25140724654268753
6,B_1,1,1,2.9023294679783027,3.5897901338857587,2.856278845001199,0.7335112888845599,-0.687460665907456
6,B_prime_1,4,4,2.7966237972149175,3.561855884308511,2.7966237972149175,0.7652320870935934,-0.7652320870935934
6,C_1,2,2,2.423635866604717,2.3732103447032813,2.3732103447032813,0.0,0.050425521901435566
7,A_1,0,0,2.7779617438663284,2.749147366751269,2.749147366751269,0.0,0.028814377115059298
7,A_2,5,5,2.876587314899596,2.886441987402122,2.876587314899596,0.009854672502525919,-0.009854672502525919
7,A_merge,7,7,2.7516831341911763,2.7516831341911763,2.7516831341911763,0.0,
7,B_1,1,1,2.9023294679783027,3.4867708676726203,2.856278845001199,0.6304920226714215,-0.5844413996943176
7,B_prime_1,4,4,2.7966237972149175,3.4301726295421946,2.7966237972149175,0.6335488323272771,-0.6335488323272771
7,C_1,2,2,2.423635866604717,3.2149844390861317,2.3732103447032813,0.8417740943828504,-0.7913485724814149
8,A_1,0,0,2.7779617438663284,2.74952245928511,2.749147366751269,0.00037509253384104824,0.02843928458121825
8,A_2,5,5,2.876587314899596,2.874996053296287,2.874996053296287,0.0,0.0015912616033091354
8,A_merge,7,7,2.7516831341911763,2.738365981158088,2.738365981158088,0.0,0.013317153033088225
8,B_1,1,1,2.9023294679783027,3.436583141033325,2.856278845001199,0.5803042960321263,-0.5342536730550225
8,B_prime_1,4,4,2.7966237972149175,3.3769101683899114,2.7966237972149175,0.5802863711749939,-0.5802863711749939
8,C_1,2,2,2.423635866604717,3.282386026820046,2.3732103447032813,0.9091756821167647,-0.8587501602153291
9,A_1,0,0,2.7779617438663284,3.3909021294114092,2.749147366751269,0.6417547626601401,-0.6129403855450808
9,A_2,5,5,2.876587314899596,3.4333734745990148,2.874996053296287,0.5583774213027279,-0.5567861596994188
9,A_merge,7,7,2.7516831341911763,3.369284237132353,2.738365981158088,0.6309182559742648,-0.6176011029411765
9,B_1,1,1,2.9023294679783027,2.9084023709092546,2.856278845001199,0.05212352590805569,-0.006072902930951862
9,B_prime_1,4,4,2.7966237972149175,2.869110742140808,2.7966237972149175,0.07248694492589047,-0.07248694492589047
9,C_1,2,2,2.423635866604717,3.3587694361221483,2.3732103447032813,0.985559091418867,-0.9351335695174314
9,E_1,9,9,2.651889704282695,2.651889704282695,2.651889704282695,0.0,
