checkpoint_task,seen_law_count,clnll,average_forgetting,average_bwt,bwt_law_count
0,1,2.7779617438663284,0.0,,0
1,2,3.076672725891496,0.23652711996918052,-0.47305423993836104,1
2,3,3.105573704719579,0.40426467856979614,-0.6063970178546942,2
3,3,3.2109546416986334,0.5148149210036891,-0.5096456155488506,3
4,4,3.0764352145208838,0.3666871304402224,-0.46839666080642345,3
5,5,3.1806036887778446,0.4395122667821273,-0.5314700633313405,4
6,5,3.1428947482593133,0.4118884306438829,-0.38746711014654095,5
7,6,3.086533404107586,0.35261160364734584,-0.39807581997809527,5
8,6,3.0764606383304614,0.34502357364295433,-0.32165708420462163,6
9,7,3.140247442085383,0.42017428602713514,-0.46683684425999167,6
