accuracy,anchor,evaluation,evaluation_scope,nll_per_event,num_events,task,time_rmse
0.09966297544535388,,pre_update,,9.245379077395281,2077,0,2.555063218998968
0.34472797303803565,,post_update,,2.805694859247111,2077,0,5.562118771862591
0.3555716702924825,A_1,frozen_anchor,persistent,2.7779617438663284,4137,0,5.5672026609178005
0.07408295372812275,B_1,frozen_anchor,persistent,3.5686190268370894,4171,0,7.01817337717912
0.10997180210202512,C_1,frozen_anchor,persistent,3.381637671029864,3901,0,6.16093876220858
0.08893138895529525,B_prime_1,frozen_anchor,persistent,3.562637040924576,4183,0,6.950280312765093
0.3263450366254105,A_2,frozen_anchor,persistent,2.9269578610444555,3959,0,5.808563251548024
0.28146895385358783,X_transient,frozen_anchor,diagnostic_only,2.993506177896231,4139,0,5.129117955913833
0.3465686274509804,A_merge,frozen_anchor,persistent,2.784027458639706,4080,0,5.416765883329639
0.11437095972153158,E_1,frozen_anchor,persistent,3.4043337813898558,4022,0,6.786649771194716
0.08852140077821012,,pre_update,,3.6308116393330496,2056,1,6.084229130694044
0.11381322957198443,,scratch_pre,,9.645551510821985,2056,1,2.6161927246607988
0.22811284046692606,,post_update,,3.073236962700632,2056,1,4.635289240295204
0.21223108532753202,A_1,frozen_anchor,persistent,3.2510159838046895,4137,1,5.555488641225417
0.24550467513785662,B_1,frozen_anchor,persistent,2.9023294679783027,4171,1,4.429617633287075
0.16918738784926943,C_1,frozen_anchor,persistent,3.119271550964496,3901,1,5.241659698526325
0.23762849629452545,B_prime_1,frozen_anchor,persistent,2.8802316014971314,4183,1,4.368389613457725
0.17681232634503663,A_2,frozen_anchor,persistent,3.2983165335311946,3959,1,5.498066492904032
0.17782072964484175,X_transient,frozen_anchor,diagnostic_only,3.2458252483993717,4139,1,5.153595811234737
0.20465686274509803,A_merge,frozen_anchor,persistent,3.2177049823835784,4080,1,5.540644716325802
0.13351566384883143,E_1,frozen_anchor,persistent,3.2065456396071608,4022,1,5.784255194504016
0.15658914728682172,,pre_update,,3.123572250484496,1935,2,4.562012159328432
0.15968992248062017,,scratch_pre,,7.048907360303618,1935,2,2.1066966379433243
0.37622739018087853,,post_update,,2.418023508155685,1935,2,3.972395843655953
0.09644670050761421,A_1,frozen_anchor,persistent,3.434368484862219,4137,2,4.112357109333057
0.09086549988012467,B_1,frozen_anchor,persistent,3.4587167626918007,4171,2,5.375016378290436
0.35990771597026405,C_1,frozen_anchor,persistent,2.423635866604717,3901,2,4.393226808824105
0.09012670332297394,B_prime_1,frozen_anchor,persistent,3.4663495659514703,4183,2,5.565833542082334
0.08461732760798181,A_2,frozen_anchor,persistent,3.4934948456049506,3959,2,5.0300540066233745
0.08142063300314085,X_transient,frozen_anchor,diagnostic_only,3.4510159175676494,4139,2,4.569270135299556
0.09215686274509804,A_merge,frozen_anchor,persistent,3.384467390471814,4080,2,4.354562953985232
0.09448035803083044,E_1,frozen_anchor,persistent,3.4986708843547984,4022,2,4.908964065036532
0.0905587668593449,,pre_update,,3.4100028976999037,2076,3,5.728233743450507
0.1069364161849711,,scratch_pre,,8.941995198097302,2076,3,2.4927403174220046
0.3603082851637765,,post_update,,2.7977671246537814,2076,3,6.220225622751052
0.3729755861735557,A_1,frozen_anchor,persistent,2.762453827501813,4137,3,11.366985684360875
0.10093502757132582,B_1,frozen_anchor,persistent,3.548408327214697,4171,3,8.527333461721426
0.10484491156113818,C_1,frozen_anchor,persistent,3.32200177037939,3901,3,7.2439056650067615
0.1030360984939039,B_prime_1,frozen_anchor,persistent,3.531046423021755,4183,3,8.622091994185848
0.3334175296792119,A_2,frozen_anchor,persistent,2.897989549128568,3959,3,9.435031549817255
0.2923411452041556,X_transient,frozen_anchor,diagnostic_only,2.9583718704699202,4139,3,6.217946010637726
0.3524509803921569,A_merge,frozen_anchor,persistent,2.7567287071078432,4080,3,5.721539486286646
0.10765788165091994,E_1,frozen_anchor,persistent,3.38156399568001,4022,3,11.654972709588943
0.10640443772062531,,pre_update,,3.4551874527231465,1983,4,7.914955889149417
0.12254160363086233,,scratch_pre,,8.525814146810388,1983,4,2.3850070019857235
0.264750378214826,,post_update,,2.662777653019415,1983,4,4.873306224628359
0.10804931109499638,A_1,frozen_anchor,persistent,3.3976131934372735,4137,4,9.562877138627243
0.272596499640374,B_1,frozen_anchor,persistent,2.856278845001199,4171,4,5.070653373909138
0.11971289412971033,C_1,frozen_anchor,persistent,3.255225022430146,3901,4,5.477048236881887
0.2863973224958164,B_prime_1,frozen_anchor,persistent,2.7966237972149175,4183,4,5.220245203709452
0.09952008082849205,A_2,frozen_anchor,persistent,3.433618910236171,3959,4,8.498758322751774
0.09881613916404929,X_transient,frozen_anchor,diagnostic_only,3.3723758569400824,4139,4,6.755360423333629
0.10857843137254902,A_merge,frozen_anchor,persistent,3.358095894607843,4080,4,6.815330125846048
0.11685728493286922,E_1,frozen_anchor,persistent,3.2905028204251616,4022,4,12.076397782093284
0.0958354239839438,,pre_update,,3.4078027980745107,1993,5,8.428370416192797
0.10737581535373808,,scratch_pre,,9.07193340755143,1993,5,2.4558394879931593
0.3552433517310587,,post_update,,2.8050010975915707,1993,5,6.048995250962061
0.37007493352671017,A_1,frozen_anchor,persistent,2.752331286258158,4137,5,6.883046250673099
0.07911771757372332,B_1,frozen_anchor,persistent,3.512682669398825,4171,5,8.128846396046628
0.10356318892591643,C_1,frozen_anchor,persistent,3.2965052530601127,3901,5,7.081908655878196
0.08940951470236672,B_prime_1,frozen_anchor,persistent,3.464911920272532,4183,5,8.238533313029233
0.33569083101793384,A_2,frozen_anchor,persistent,2.876587314899596,3959,5,7.498175874828562
