Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -3.38605,  0.00000,  0.93805
1, validation, -3.48683,  0.00000,  1.02002
2, train, -3.44753,  0.33333,  0.97988
2, validation, -3.44485,  0.00000,  0.93176
3, train, -3.43329,  0.33333,  0.87016
3, validation, -3.40272,  0.33333,  0.84624
4, train, -3.40169,  0.33333,  0.87756
4, validation, -3.36053,  0.33333,  0.76242
5, train, -3.37111,  0.33333,  0.79673
5, validation, -3.31907,  0.33333,  0.68360
6, train, -3.32175,  0.33333,  0.70883
6, validation, -3.27815,  0.33333,  0.60839
7, train, -3.28252,  0.33333,  0.64217
7, validation, -3.23829,  0.33333,  0.53795
8, train, -3.23875,  0.33333,  0.58084
8, validation, -3.19928,  0.33333,  0.47283
9, train, -3.20145,  0.33333,  0.45718
9, validation, -3.16170,  0.33333,  0.41510
10, train, -3.21344,  0.33333,  0.45934
10, validation, -3.12558,  0.33333,  0.36364
11, train, -3.09829,  0.33333,  0.40364
11, validation, -3.09082,  0.33333,  0.31778
12, train, -3.09720,  0.33333,  0.37245
12, validation, -3.05726,  0.33333,  0.27757
13, train, -3.08265,  0.33333,  0.29173
13, validation, -3.02494,  0.33333,  0.24453
14, train, -3.01818,  0.33333,  0.20150
14, validation, -2.99442,  0.66667,  0.22058
15, train, -3.00308,  0.66667,  0.17816
15, validation, -2.96513,  0.66667,  0.20327
16, train, -2.94809,  0.66667,  0.17335
16, validation, -2.93713,  0.66667,  0.19140
17, train, -2.92813,  0.66667,  0.13926
17, validation, -2.90981,  1.00000,  0.18299
18, train, -2.89384,  1.00000,  0.15985
18, validation, -2.88326,  1.00000,  0.17742
19, train, -2.86885,  1.00000,  0.11320
19, validation, -2.85760,  1.00000,  0.17416
20, train, -2.85834,  1.00000,  0.13697
20, validation, -2.83245,  1.00000,  0.17235
