Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -3.44552,  0.00000,  1.28894
1, validation, -3.42611,  0.00000,  1.26746
2, train, -3.41137,  0.00000,  1.26954
2, validation, -3.39174,  0.00000,  1.24528
3, train, -3.37839,  0.00000,  1.24575
3, validation, -3.35683,  0.00000,  1.22333
4, train, -3.34698,  0.00000,  1.22304
4, validation, -3.32089,  0.03226,  1.20119
5, train, -3.30821,  0.00000,  1.19963
5, validation, -3.28401,  0.03226,  1.17922
6, train, -3.27362,  0.06452,  1.17682
6, validation, -3.24634,  0.16129,  1.15796
7, train, -3.23770,  0.22581,  1.15834
7, validation, -3.20789,  0.45161,  1.13775
8, train, -3.19413,  0.38710,  1.13852
8, validation, -3.16862,  0.41935,  1.11852
9, train, -3.15774,  0.41935,  1.11694
9, validation, -3.12850,  0.41935,  1.10048
10, train, -3.11826,  0.45161,  1.09780
10, validation, -3.08754,  0.41935,  1.08360
11, train, -3.08162,  0.41935,  1.08279
11, validation, -3.04581,  0.45161,  1.06775
12, train, -3.03524,  0.41935,  1.06544
12, validation, -3.00323,  0.45161,  1.05291
13, train, -2.99359,  0.48387,  1.05202
13, validation, -2.95984,  0.45161,  1.03899
14, train, -2.94802,  0.45161,  1.03750
14, validation, -2.91558,  0.45161,  1.02597
15, train, -2.90469,  0.35484,  1.02588
15, validation, -2.87036,  0.38710,  1.01379
16, train, -2.86046,  0.38710,  1.01541
16, validation, -2.82430,  0.41935,  1.00249
17, train, -2.81480,  0.35484,  1.00312
17, validation, -2.77761,  0.41935,  0.99218
18, train, -2.76798,  0.35484,  0.99028
18, validation, -2.73072,  0.41935,  0.98300
19, train, -2.72217,  0.38710,  0.98242
19, validation, -2.68394,  0.41935,  0.97498
20, train, -2.67825,  0.38710,  0.97455
20, validation, -2.63744,  0.38710,  0.96804
