Epoch,Split,Log-likelihood,Accuracy,RMSE,num_events,SelectionMetric
1,train,-3.379663739885603,,,7,validation_loglike
1,valid,-2.779207229614258,,,7,validation_loglike
2,train,-2.828183855329241,,,7,validation_loglike
2,valid,-2.5370385306222096,,,7,validation_loglike
3,train,-2.52438109261649,,,7,validation_loglike
3,valid,-2.3015349251883372,,,7,validation_loglike
4,train,-2.4344370705740794,,,7,validation_loglike
4,valid,-2.0549941744123186,,,7,validation_loglike
5,train,-2.073211124965123,,,7,validation_loglike
5,valid,-1.7664286749703544,,,7,validation_loglike
6,train,-1.9344331196376257,,,7,validation_loglike
6,valid,-1.516063826424735,,,7,validation_loglike
7,train,-1.5789108276367188,,,7,validation_loglike
7,valid,-1.3524739401681083,,,7,validation_loglike
8,train,-1.418557848249163,,,7,validation_loglike
8,valid,-1.140817369733538,,,7,validation_loglike
9,train,-1.2920856475830078,,,7,validation_loglike
9,valid,-1.016742365700858,,,7,validation_loglike
10,train,-1.0510904448372977,,,7,validation_loglike
10,valid,-0.8123362404959542,,,7,validation_loglike
11,train,-0.8584844044276646,,,7,validation_loglike
11,valid,-0.6910280500139508,,,7,validation_loglike
12,train,-0.8142164775303432,,,7,validation_loglike
12,valid,-0.5347967147827148,,,7,validation_loglike
13,train,-0.8095798492431641,,,7,validation_loglike
13,valid,-0.4660266467503139,,,7,validation_loglike
14,train,-0.5744412967136928,,,7,validation_loglike
14,valid,-0.44529904638017925,,,7,validation_loglike
15,train,-0.5378482341766357,,,7,validation_loglike
15,valid,-0.45028713771275114,,,7,validation_loglike
16,train,-0.45097340856279644,,,7,validation_loglike
16,valid,-0.31904772349766325,,,7,validation_loglike
17,train,-0.4686987740652902,,,7,validation_loglike
17,valid,-0.18247861521584646,,,7,validation_loglike
18,train,-0.38924854142325266,,,7,validation_loglike
18,valid,-0.12899533339909144,,,7,validation_loglike
19,train,-0.4081952912466867,,,7,validation_loglike
19,valid,-0.027980702263968333,,,7,validation_loglike
20,train,-0.10478525502341134,,,7,validation_loglike
20,valid,0.002412012645176479,,,7,validation_loglike
21,train,0.012237191200256348,,,7,validation_loglike
21,valid,0.09017459835324969,,,7,validation_loglike
22,train,-0.046174117497035434,,,7,validation_loglike
22,valid,0.1696056468146188,,,7,validation_loglike
23,train,-0.05114926610674177,,,7,validation_loglike
23,valid,0.17540754590715682,,,7,validation_loglike
24,train,0.19326649393354142,,,7,validation_loglike
24,valid,0.26489230564662386,,,7,validation_loglike
25,train,0.2657038824898856,,,7,validation_loglike
25,valid,0.15025549275534494,,,7,validation_loglike
26,train,0.18633954865591867,,,7,validation_loglike
26,valid,0.2125354324068342,,,7,validation_loglike
27,train,0.27102208137512207,,,7,validation_loglike
27,valid,0.37920522689819336,,,7,validation_loglike
28,train,0.07306994710649763,,,7,validation_loglike
28,valid,0.37041984285627094,,,7,validation_loglike
29,train,0.38980633871895926,,,7,validation_loglike
29,valid,0.38398674556187223,,,7,validation_loglike
30,train,0.2909544195447649,,,7,validation_loglike
30,valid,0.5064469405582973,,,7,validation_loglike
31,train,0.34488487243652344,,,7,validation_loglike
31,valid,0.46438298906598774,,,7,validation_loglike
32,train,0.4436563764299665,,,7,validation_loglike
32,valid,0.42003325053623747,,,7,validation_loglike
33,train,0.028252354690006802,,,7,validation_loglike
33,valid,0.29367031369890484,,,7,validation_loglike
34,train,0.4698890277317592,,,7,validation_loglike
34,valid,0.40998877797807964,,,7,validation_loglike
35,train,0.24208429881504603,,,7,validation_loglike
35,valid,0.5207923480442592,,,7,validation_loglike
36,train,0.5139950684138707,,,7,validation_loglike
36,valid,0.698531082698277,,,7,validation_loglike
37,train,0.640770503452846,,,7,validation_loglike
37,valid,0.8370735985892159,,,7,validation_loglike
38,train,-0.12900438479014806,,,7,validation_loglike
38,valid,0.8592720712934222,,,7,validation_loglike
39,train,0.6098920277186802,,,7,validation_loglike
39,valid,0.8118760245186942,,,7,validation_loglike
40,train,0.779043470110212,,,7,validation_loglike
40,valid,0.7877246992928642,,,7,validation_loglike
41,train,0.5852076666695731,,,7,validation_loglike
41,valid,0.7229972566877093,,,7,validation_loglike
42,train,0.6630375044686454,,,7,validation_loglike
42,valid,0.43584108352661133,,,7,validation_loglike
43,train,0.5630745547158378,,,7,validation_loglike
43,valid,0.2952085903712681,,,7,validation_loglike
44,train,0.7125568389892578,,,7,validation_loglike
44,valid,0.781994070325579,,,7,validation_loglike
45,train,0.7857932363237653,,,7,validation_loglike
45,valid,0.9110873086111886,,,7,validation_loglike
46,train,0.6106752668108258,,,7,validation_loglike
46,valid,0.9300588880266462,,,7,validation_loglike
47,train,0.3921926021575928,,,7,validation_loglike
47,valid,1.058276585170201,,,7,validation_loglike
48,train,0.8649777003696987,,,7,validation_loglike
48,valid,1.0746673856462752,,,7,validation_loglike
49,train,0.5413150787353516,,,7,validation_loglike
49,valid,0.9787754331316266,,,7,validation_loglike
50,train,0.815835816519601,,,7,validation_loglike
50,valid,0.9197658811296735,,,7,validation_loglike
51,train,0.5486555099487305,,,7,validation_loglike
51,valid,0.919860703604562,,,7,validation_loglike
52,train,0.8620930399213519,,,7,validation_loglike
52,valid,1.0374327387128557,,,7,validation_loglike
53,train,0.9633253642490932,,,7,validation_loglike
53,valid,1.1213305337088448,,,7,validation_loglike
54,train,0.8851126262119838,,,7,validation_loglike
54,valid,1.0749315534319197,,,7,validation_loglike
55,train,1.0126910890851701,,,7,validation_loglike
55,valid,1.1820498875209264,,,7,validation_loglike
56,train,1.1470907756260462,,,7,validation_loglike
56,valid,1.1972341537475586,,,7,validation_loglike
57,train,0.7700939178466797,,,7,validation_loglike
57,valid,1.1985604422433036,,,7,validation_loglike
58,train,0.9838136264256069,,,7,validation_loglike
58,valid,1.1631645475115096,,,7,validation_loglike
59,train,1.3332044056483678,,,7,validation_loglike
59,valid,1.0419928686959403,,,7,validation_loglike
60,train,1.2574969700404577,,,7,validation_loglike
60,valid,0.8098521913800921,,,7,validation_loglike
61,train,0.6686437470572335,,,7,validation_loglike
61,valid,0.677931649344308,,,7,validation_loglike
62,train,0.6376849583217076,,,7,validation_loglike
62,valid,0.7681458336966378,,,7,validation_loglike
63,train,0.6195146015712193,,,7,validation_loglike
63,valid,1.1001605987548828,,,7,validation_loglike
64,train,1.1713409423828125,,,7,validation_loglike
64,valid,1.2573988778250558,,,7,validation_loglike
