Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -5.88681,  0.00000,  2.18580
1, validation, -5.74809,  0.00000,  2.16462
2, train, -5.81261,  0.00000,  2.16438
2, validation, -5.69967,  0.00000,  2.15138
3, train, -5.78039,  0.00000,  2.16302
3, validation, -5.65194,  0.00000,  2.13861
4, train, -5.70709,  0.00000,  2.14758
4, validation, -5.60508,  0.00000,  2.12628
5, train, -5.64340,  0.33333,  2.13322
5, validation, -5.55914,  0.33333,  2.11437
6, train, -5.59528,  0.33333,  2.11189
6, validation, -5.51379,  0.33333,  2.10278
7, train, -5.61040,  0.33333,  2.10874
7, validation, -5.46909,  0.33333,  2.09175
8, train, -5.55517,  0.33333,  2.09959
8, validation, -5.42487,  0.33333,  2.08131
9, train, -5.47936,  0.33333,  2.09168
9, validation, -5.38117,  0.33333,  2.07140
10, train, -5.49485,  0.33333,  2.09607
10, validation, -5.33783,  0.33333,  2.06194
11, train, -5.36664,  0.33333,  2.06916
11, validation, -5.29482,  0.33333,  2.05301
12, train, -5.35054,  0.33333,  2.07592
12, validation, -5.25209,  0.33333,  2.04451
13, train, -5.38969,  0.33333,  2.06935
13, validation, -5.20956,  0.66667,  2.03660
14, train, -5.25045,  0.33333,  2.04272
14, validation, -5.16721,  0.66667,  2.02928
15, train, -5.19468,  0.66667,  2.03867
15, validation, -5.12512,  0.33333,  2.02248
16, train, -5.14474,  0.66667,  2.03191
16, validation, -5.08321,  0.33333,  2.01626
17, train, -5.15501,  0.33333,  2.01342
17, validation, -5.04150,  0.33333,  2.01063
18, train, -5.09897,  0.33333,  2.01817
18, validation, -4.99997,  0.33333,  2.00554
19, train, -5.06113,  0.33333,  2.01007
19, validation, -4.95859,  0.66667,  2.00095
20, train, -5.02501,  0.33333,  2.00498
20, validation, -4.91737,  0.66667,  1.99675
