Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -3.58829,  0.09187,  1.97878
1, validation, -3.53909,  0.10323,  2.02124
2, train, -3.51595,  0.13602,  1.96307
2, validation, -3.48168,  0.16389,  2.02114
3, train, -3.45742,  0.15816,  1.95969
3, validation, -3.43143,  0.16830,  2.01816
4, train, -3.40615,  0.16369,  1.95595
4, validation, -3.39177,  0.17025,  2.01478
5, train, -3.36420,  0.15644,  1.95617
5, validation, -3.36115,  0.15264,  2.01273
6, train, -3.33553,  0.15767,  1.95651
6, validation, -3.34073,  0.15117,  2.01240
7, train, -3.31465,  0.16259,  1.95354
7, validation, -3.32854,  0.15998,  2.01100
8, train, -3.30317,  0.17206,  1.95204
8, validation, -3.32241,  0.18395,  2.01144
9, train, -3.29690,  0.19542,  1.95066
9, validation, -3.31843,  0.19472,  2.01087
10, train, -3.29298,  0.19850,  1.94939
10, validation, -3.31536,  0.20401,  2.01074
11, train, -3.28905,  0.20465,  1.94835
11, validation, -3.31224,  0.20646,  2.01149
12, train, -3.28561,  0.21104,  1.94671
12, validation, -3.30863,  0.20890,  2.01188
13, train, -3.27999,  0.21031,  1.94577
13, validation, -3.30452,  0.20841,  2.01171
14, train, -3.27426,  0.21633,  1.94287
14, validation, -3.30108,  0.21331,  2.01214
15, train, -3.26973,  0.21793,  1.94102
15, validation, -3.29663,  0.21331,  2.01122
16, train, -3.26592,  0.21166,  1.94086
16, validation, -3.29390,  0.20890,  2.01188
17, train, -3.26331,  0.21326,  1.94184
17, validation, -3.28875,  0.21037,  2.01034
18, train, -3.25704,  0.21793,  1.93815
18, validation, -3.28694,  0.21526,  2.01041
19, train, -3.25215,  0.21621,  1.93538
19, validation, -3.28712,  0.21282,  2.01212
20, train, -3.24985,  0.21732,  1.93466
20, validation, -3.28229,  0.21380,  2.00943
