Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -3.80110,  0.00000,  1.67809
1, validation, -3.75163,  0.00000,  1.61598
2, train, -3.82140,  0.00000,  1.68664
2, validation, -3.72308,  0.33333,  1.57098
3, train, -3.69593,  0.33333,  1.53781
3, validation, -3.69839,  0.33333,  1.53461
4, train, -3.68469,  0.33333,  1.50297
4, validation, -3.67627,  0.33333,  1.50617
5, train, -3.67952,  0.33333,  1.50412
5, validation, -3.65600,  0.33333,  1.48556
6, train, -3.66346,  0.33333,  1.51846
6, validation, -3.63678,  0.33333,  1.47074
7, train, -3.64081,  0.33333,  1.47205
7, validation, -3.61836,  0.33333,  1.46031
8, train, -3.59408,  0.33333,  1.42860
8, validation, -3.60058,  0.66667,  1.45382
9, train, -3.58660,  0.66667,  1.43748
9, validation, -3.58294,  0.66667,  1.45023
10, train, -3.56598,  0.66667,  1.43993
10, validation, -3.56534,  0.66667,  1.44852
11, train, -3.57184,  0.33333,  1.44225
11, validation, -3.54750,  0.33333,  1.44757
12, train, -3.55422,  0.66667,  1.43050
12, validation, -3.52945,  0.33333,  1.44676
13, train, -3.49618,  0.66667,  1.36663
13, validation, -3.51135,  0.33333,  1.44596
14, train, -3.51580,  0.33333,  1.44869
14, validation, -3.49302,  0.33333,  1.44447
15, train, -3.49906,  0.33333,  1.42884
15, validation, -3.47448,  0.33333,  1.44222
16, train, -3.47917,  0.33333,  1.44289
16, validation, -3.45585,  0.33333,  1.43917
17, train, -3.42947,  0.66667,  1.40934
17, validation, -3.43714,  0.33333,  1.43570
18, train, -3.43619,  0.33333,  1.43832
18, validation, -3.41838,  0.33333,  1.43163
19, train, -3.40808,  0.33333,  1.42069
19, validation, -3.39956,  0.66667,  1.42725
20, train, -3.40578,  0.66667,  1.45160
20, validation, -3.38080,  0.66667,  1.42282
