checkpoint_task,variant,current_nll_per_event,current_accuracy,clnll,average_forgetting,average_bwt
0,frozen/full,3.05439406314016,0.32527264106211473,3.024283262242365,0.0,
1,frozen/full,3.3357911237811675,0.2193486590038314,3.2924039555226354,0.16991889752027278,-0.33983779504054556
2,frozen/full,2.5553808750449307,0.3914590747330961,3.1516985743551267,0.22065492662858008,-0.3309823899428701
3,frozen/full,3.086482371958202,0.22011385199240988,3.159352795441084,0.2283091477145375,-0.2283091477145375
4,frozen/full,2.9011265492025142,0.27344913151364764,3.06748726373678,0.14714917682977802,-0.14963401796116763
5,frozen/full,3.0492653401692706,0.3254320987654321,3.0893590158421804,0.13197438765818514,-0.12586621296762357
6,frozen/full,2.746166480867462,0.365912373615792,3.3092516253981543,0.3542185311207664,-0.32058557993007303
7,frozen/full,3.1041680080019716,0.26940187839841817,3.1441926546225063,0.17453200948052308,-0.17580546018593432
8,frozen/full,3.081627842577659,0.27732696897374703,3.1422114742883234,0.17676510919994834,-0.14452336982076167
9,frozen/full,3.057941841950792,0.3000489476260401,3.221296337566728,0.2694497845240318,-0.2821163425655171
