checkpoint_task,variant,regime_id,forgetting_nll,bwt_nll
0,frozen/full,A_1,0.0,
1,frozen/full,A_1,0.33983779504054556,-0.33983779504054556
1,frozen/full,B_1,0.0,
2,frozen/full,A_1,0.39829965694493774,-0.39829965694493774
2,frozen/full,B_1,0.26366512294080247,-0.26366512294080247
2,frozen/full,C_1,0.0,
3,frozen/full,A_1,0.022869127360277908,-0.022869127360277908
3,frozen/full,B_1,0.3594195189132603,-0.3594195189132603
3,frozen/full,C_1,0.30263879687007433,-0.30263879687007433
4,frozen/full,A_1,0.1878776123511794,-0.1878776123511794
4,frozen/full,B_1,0.0,0.13969465343560916
4,frozen/full,B_prime_1,0.0,
4,frozen/full,C_1,0.4007190949679327,-0.4007190949679327
5,frozen/full,A_1,0.0,0.01671243298482228
5,frozen/full,A_2,0.0,
5,frozen/full,B_1,0.14890397937689093,-0.009209325941281765
5,frozen/full,B_prime_1,0.14169925629517222,-0.14169925629517222
5,frozen/full,C_1,0.3692687026188626,-0.3692687026188626
6,frozen/full,A_1,0.4039866069020954,-0.38727417391727315
6,frozen/full,A_2,0.37394414527659814,-0.37394414527659814
6,frozen/full,B_1,0.4960636287540585,-0.35636897531844935
6,frozen/full,B_prime_1,0.4970982746710799,-0.4970982746710799
6,frozen/full,C_1,0.0,0.011757669533035475
7,frozen/full,A_1,0.04302808711200168,-0.0263156541271794
7,frozen/full,A_2,0.04579275056790166,-0.04579275056790166
7,frozen/full,A_merge,0.0,
7,frozen/full,B_1,0.37742380910105533,-0.23772915566544617
7,frozen/full,B_prime_1,0.3710142126188911,-0.3710142126188911
7,frozen/full,C_1,0.20993319748328876,-0.19817552795025328
8,frozen/full,A_1,0.017484309417354016,-0.0007718764325317373
8,frozen/full,A_2,0.022591703008604025,-0.022591703008604025
8,frozen/full,A_merge,0.0,0.025285680321653015
8,frozen/full,B_1,0.39803763685710614,-0.258342983421497
8,frozen/full,B_prime_1,0.3911231355103486,-0.3911231355103486
8,frozen/full,C_1,0.2313538704062772,-0.21959620087324172
9,frozen/full,A_1,0.4035811121195332,-0.3868686791347109
9,frozen/full,A_2,0.36035698633006685,-0.36035698633006685
9,frozen/full,A_merge,0.3745099108191532,-0.3492242304975002
9,frozen/full,B_1,0.09746453331381,0.042230120121799164
9,frozen/full,B_prime_1,0.10026428944816956,-0.10026428944816956
9,frozen/full,C_1,0.5499716596374897,-0.5382139901044543
9,frozen/full,E_1,0.0,
