accepted_count,action,auc_reason,auc_sample_sufficient,available,beneficial_pr_auc,beneficial_roc_auc,candidate_count,controller_regret,false_negative_missed_gain,false_positive_harmful_loss,gain_per_action,gain_per_second,ipw,labeled_count,local_utility_is_policy_selection_metric,local_utility_method,local_utility_variant,negative_count,pearson_gate_utility,physical_accepted_count,positive_count,positive_utility_fraction,probe_count,probed_accepted_count,probed_gate_selected_count,ranking,selected_count,selected_total_gain,spearman_gate_utility,unprobed_accepted_count
,retrieve,,,True,0.9995566278046253,0.9997535529450423,,0.0008020536444187165,0,0.3208214577674866,0.018053034299612046,1.0967462925836364,,400,,,,,0.893505416344631,,,0.3525,,,,,400,7.221213719844818,0.5537860236626478,
,adapt,,,True,0.4000570647447022,0.31285225442834136,,0.001274833361148834,0,0.5099333444595336,0.00900018265247345,0.5467732898999664,,400,,,,,-0.6715704789395236,,,0.46,,,,,400,3.60007306098938,-0.3512989308354555,
8,write,insufficient samples: at least 20 positive and 20 negative probes required,False,True,,,53,0.06503658733345219,4.16234158934094,0,0.17449689377099276,0.18507653722803358,"{""available"": true, ""labeled_count"": 64, ""positive_utility_fraction"": 1.0, ""pearson_gate_utility"": -0.23843415022842565, ""spearman_gate_utility"": 0.2993131868131868, ""beneficial_roc_auc"": null, ""beneficial_pr_auc"": 1.0, ""utility_deciles"": [{""decile"": 1, ""count"": 6, ""mean_gate"": 0.23552402605613074, ""mean_utility"": 0.002306170592253858, ""beneficial_fraction"": 1.0}, {""decile"": 2, ""count"": 6, ""mean_gate"": 0.24266103903452554, ""mean_utility"": 0.08557619484649463, ""beneficial_fraction"": 1.0}, {""decile"": 3, ""count"": 7, ""mean_gate"": 0.24848477755274093, ""mean_utility"": 0.09233145475653666, ""beneficial_fraction"": 1.0}, {""decile"": 4, ""count"": 6, ""mean_gate"": 0.25583286583423615, ""mean_utility"": 0.1287683464981841, ""beneficial_fraction"": 1.0}, {""decile"": 5, ""count"": 7, ""mean_gate"": 0.42369466594287325, ""mean_utility"": 0.13634949205927066, ""beneficial_fraction"": 1.0}, {""decile"": 6, ""count"": 6, ""mean_gate"": 0.7914737661679586, ""mean_utility"": 0.014090168318062118, ""beneficial_fraction"": 1.0}, {""decile"": 7, ""count"": 6, ""mean_gate"": 0.8327885170777639, ""mean_utility"": 0.018735901198603893, ""beneficial_fraction"": 1.0}, {""decile"": 8, ""count"": 7, ""mean_gate"": 0.8631876792226519, ""mean_utility"": 0.024457757155616565, ""beneficial_fraction"": 1.0}, {""decile"": 9, ""count"": 6, ""mean_gate"": 0.9270702600479126, ""mean_utility"": 0.023979703359531635, ""beneficial_fraction"": 1.0}, {""decile"": 10, ""count"": 7, ""mean_gate"": 0.9698891639709473, ""mean_utility"": 0.02978528803819186, ""beneficial_fraction"": 1.0}], ""false_positive_harmful_loss"": 0, ""false_negative_missed_gain"": 3.367393189279193, ""controller_regret"": 0.05261551858248739, ""selected_count"": 8, ""selected_total_gain"": 0.25381366366689856, ""gain_per_action"": 0.03172670795836232}",64,False,committed-item exclusion compatibility path,full_online,0,0.5839682265833294,8,64,1.0,64,8,8,"{""group_count"": 2, ""pair_count"": 144, ""pairwise_accuracy"": 0.9652777777777778, ""ndcg_at_1"": 0.8465286693702903, ""ndcg_at_2"": 0.7854998533121833, ""ndcg_at_4"": 0.7738407046731212, ""top4_cumulative_utility"": 0.6421985998749733, ""random_top4_utility"": 0.3904056854080409, ""top4_uplift_over_random"": 0.2517929144669324, ""sequence_regret"": 0.20365682244300842, ""harmful_selection_rate"": 0.0}",8,1.395975150167942,0.6889194139194139,0
