baseline,bootstrap_95ci,comparison,events,improved_event_fraction,mean_nll_gain,median_nll_gain,negative_gain_fraction,retrieval_diagnostic_correlations,retrieval_gain_correlation,target
no_episodic,"[0.013594118505716324, 0.022591126561164857]",episodic_gain,400,0.3525,0.018153034299612045,-0.000689774751663208,0.6475,"{""alpha_mass"": {""pearson"": null, ""spearman"": null}, ""alpha_per_visited_node"": {""pearson"": null, ""spearman"": null}, ""similarity"": {""pearson"": 0.030831114822803696, ""spearman"": -0.06441407091558266}, ""raw_residual_norm"": {""pearson"": null, ""spearman"": null}, ""gated_residual_norm"": {""pearson"": 0.893505416344631, ""spearman"": 0.5537860236626478}, ""retrieve_gate"": {""pearson"": 0.893505416344631, ""spearman"": 0.5537860236626478}}",,full_frozen
no_working,"[0.006279398798942566, 0.012014090269804]",working_gain,400,0.49,0.00910018265247345,-1.1324882507324219e-05,0.505,"{""alpha_mass"": {""pearson"": null, ""spearman"": null}, ""alpha_per_visited_node"": {""pearson"": null, ""spearman"": null}, ""similarity"": {""pearson"": 0.07834172704935076, ""spearman"": -0.004718655597532437}, ""raw_residual_norm"": {""pearson"": null, ""spearman"": null}, ""gated_residual_norm"": {""pearson"": 0.6716295492047343, ""spearman"": 0.3513480561447914}, ""retrieve_gate"": {""pearson"": 0.6716295492047342, ""spearman"": 0.3513480561447914}}",,full_frozen
semantic_only,"[0.02083434283733368, 0.0339733412861824]",total_memory_gain,400,0.43,0.027378491908311844,-0.000519096851348877,0.57,"{""alpha_mass"": {""pearson"": null, ""spearman"": null}, ""alpha_per_visited_node"": {""pearson"": null, ""spearman"": null}, ""similarity"": {""pearson"": 0.054221713266393, ""spearman"": -0.046719207004895916}, ""raw_residual_norm"": {""pearson"": null, ""spearman"": null}, ""gated_residual_norm"": {""pearson"": 0.8931595536079234, ""spearman"": 0.5593368083550522}, ""retrieve_gate"": {""pearson"": 0.8931595536079233, ""spearman"": 0.5593368083550522}}",,full_frozen
full_frozen,"[0.0007574431598186493, 0.0017634844779968262]",online_vs_frozen_gain,400,0.1575,0.0012428131699562073,0.0,0.3425,,,full_online
