Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -3.81765,  0.11806,  2.24158
1, validation, -3.55566,  0.24209,  2.04452
2, train, -3.60071,  0.22259,  2.20812
2, validation, -3.37588,  0.22150,  2.02841
3, train, -3.47302,  0.22173,  2.19882
3, validation, -3.28023,  0.24259,  2.03338
4, train, -3.39995,  0.22430,  2.19073
4, validation, -3.22419,  0.24360,  2.02411
5, train, -3.37576,  0.22503,  2.17857
5, validation, -3.19907,  0.24209,  2.00467
6, train, -3.36356,  0.22503,  2.16499
6, validation, -3.18536,  0.24460,  1.98972
7, train, -3.33931,  0.22661,  2.14126
7, validation, -3.15155,  0.24460,  1.96164
8, train, -3.31124,  0.23393,  2.11999
8, validation, -3.12881,  0.25716,  1.94383
9, train, -3.29225,  0.23735,  2.11179
9, validation, -3.12531,  0.25163,  1.93884
10, train, -3.28099,  0.23003,  2.10768
10, validation, -3.11059,  0.23707,  1.93450
11, train, -3.26516,  0.23881,  2.10019
11, validation, -3.09762,  0.25414,  1.93285
12, train, -3.25588,  0.24003,  2.10179
12, validation, -3.08163,  0.26218,  1.92490
13, train, -3.24156,  0.24735,  2.09147
13, validation, -3.07511,  0.25264,  1.92446
14, train, -3.23150,  0.24966,  2.09080
14, validation, -3.07861,  0.26469,  1.93236
15, train, -3.22554,  0.25515,  2.08977
15, validation, -3.06235,  0.26670,  1.92288
16, train, -3.21557,  0.25662,  2.08786
16, validation, -3.06566,  0.27926,  1.92819
17, train, -3.20656,  0.25479,  2.08364
17, validation, -3.04962,  0.28378,  1.91808
18, train, -3.20260,  0.26064,  2.08139
18, validation, -3.04582,  0.28026,  1.91767
19, train, -3.18985,  0.26418,  2.07841
19, validation, -3.04673,  0.29031,  1.92188
20, train, -3.18755,  0.26747,  2.07810
20, validation, -3.04204,  0.28880,  1.91752
21, train, -3.18010,  0.26613,  2.07504
21, validation, -3.04081,  0.28579,  1.91786
22, train, -3.17518,  0.27345,  2.07298
22, validation, -3.03763,  0.29031,  1.91671
23, train, -3.17027,  0.27272,  2.07284
23, validation, -3.03587,  0.28830,  1.91696
24, train, -3.16795,  0.27284,  2.07079
24, validation, -3.03538,  0.28127,  1.91643
25, train, -3.16256,  0.27369,  2.06736
25, validation, -3.03544,  0.28076,  1.91792
