average_bwt,average_forgetting,bwt_law_count,checkpoint_task,clnll,current_accuracy,current_local_time_mae,current_nll_per_event,leaf_count,memory_rows,node_count,seen_law_count,variant
,0.0,0,0,3.0067205885369788,0.34186818397344715,1.186933415260514,3.0387274324752642,1,12,1,1,frozen/full
-0.3493910882337352,0.1746955441168676,1,1,3.204150234046514,0.28735632183908044,1.2150506991536225,3.1841453976101346,1,48,1,2,frozen/full
-0.2802043951122084,0.1868029300748056,2,2,3.0992234310714415,0.31113370615149977,0.893099513827209,2.67560009551521,2,72,3,3,frozen/full
-0.1579138090010487,0.1611790542053632,3,3,3.0703343099976848,0.18358633776091082,1.1922762814690084,3.2529256773628363,2,72,3,3,frozen/full
-0.1320496733726045,0.10148618893268924,3,4,3.0813457605817063,0.1781637717121588,1.1192840481514374,3.075783938273011,1,72,1,4,frozen/full
-0.2069262378808887,0.1798427445254748,4,5,3.164746369978116,0.38419753086419756,1.1692842337525922,2.990111242223669,1,96,1,5,frozen/full
-0.2062839987585238,0.24008334301422468,5,6,3.205489378431929,0.359653346172364,0.9669259511684074,2.766433675414275,3,96,5,5,frozen/full
-0.18012131997514666,0.17826722019237295,5,7,3.1405298302175644,0.3405832921403856,1.1405782996576963,3.0213329034221683,5,96,9,6,frozen/full
-0.19517229725897334,0.23050437242512292,6,8,3.185601027497249,0.3460620525059666,1.1214539338979062,2.9970113458383056,2,96,3,6,frozen/full
-0.34312911685179265,0.32439530744395045,6,9,3.2631121438070854,0.29466470876162504,1.1332035354113847,3.087387630184433,1,96,1,7,frozen/full
