baseline_checkpoint_task,baseline_nll_per_event,best_nll_since_first_seen,bwt_nll,checkpoint_task,current_nll_per_event,first_seen_task,forgetting_nll,regime_id,variant
0,3.0067205885369788,3.0067205885369788,,0,3.0067205885369788,0,0.0,A_1,frozen/full
0,3.0067205885369788,3.0067205885369788,-0.3493910882337352,1,3.356111676770714,0,0.3493910882337352,A_1,frozen/full
1,3.052188791322314,3.052188791322314,,1,3.052188791322314,1,0.0,B_1,frozen/full
0,3.0067205885369788,3.0067205885369788,-0.2792231689830871,2,3.285943757520066,0,0.2792231689830871,A_1,frozen/full
1,3.052188791322314,3.052188791322314,-0.28118562124132973,2,3.3333744125636438,1,0.28118562124132973,B_1,frozen/full
2,2.6783521231306153,2.6783521231306153,,2,2.6783521231306153,2,0.0,C_1,frozen/full
0,3.0067205885369788,3.0067205885369788,-0.20981663279634422,3,3.216537221333323,0,0.20981663279634422,A_1,frozen/full
1,3.052188791322314,3.052188791322314,-0.2737205298197454,3,3.3259093211420594,1,0.2737205298197454,B_1,frozen/full
2,2.6783521231306153,2.668556387517672,0.009795735612943446,3,2.668556387517672,2,0.0,C_1,frozen/full
0,3.0067205885369788,3.0067205885369788,-0.1711683448114103,4,3.177888933348389,0,0.1711683448114103,A_1,frozen/full
1,3.052188791322314,3.052188791322314,-0.18293509455188817,4,3.235123885874202,1,0.18293509455188817,B_1,frozen/full
4,3.191972519219104,3.191972519219104,,4,3.191972519219104,4,0.0,B_prime_1,frozen/full
2,2.6783521231306153,2.668556387517672,-0.04204558075451503,4,2.7203977038851304,2,0.05184131636745848,C_1,frozen/full
0,3.0067205885369788,2.945007553046103,0.0617130354908757,5,2.945007553046103,0,0.0,A_1,frozen/full
5,3.066792876158014,3.066792876158014,,5,3.066792876158014,5,0.0,A_2,frozen/full
1,3.052188791322314,3.052188791322314,-0.353166189722919,5,3.405354981045233,1,0.353166189722919,B_1,frozen/full
4,3.191972519219104,3.191972519219104,-0.1587034332799946,5,3.3506759524990986,4,0.1587034332799946,B_prime_1,frozen/full
2,2.6783521231306153,2.668556387517672,-0.3775483640115169,5,3.0559004871421322,2,0.38734409962446037,C_1,frozen/full
0,3.0067205885369788,2.945007553046103,-0.2717284411653056,6,3.2784490297022844,0,0.3334414766561813,A_1,frozen/full
5,3.066792876158014,3.066792876158014,-0.31555192090669104,6,3.382344797064705,5,0.31555192090669104,A_2,frozen/full
1,3.052188791322314,3.052188791322314,-0.37284538692397806,6,3.425034178246292,1,0.37284538692397806,B_1,frozen/full
4,3.191972519219104,3.191972519219104,-0.17857793058427296,6,3.370550449803377,4,0.17857793058427296,B_prime_1,frozen/full
2,2.6783521231306153,2.5710684373429866,0.1072836857876287,6,2.5710684373429866,2,0.0,C_1,frozen/full
0,3.0067205885369788,2.945007553046103,0.056290072391385504,7,2.9504305161455933,0,0.005422963099490197,A_1,frozen/full
5,3.066792876158014,3.066792876158014,-0.010502247498636041,7,3.07729512365665,5,0.010502247498636041,A_2,frozen/full
7,2.9465454830626263,2.9465454830626263,,7,2.9465454830626263,7,0.0,A_merge,frozen/full
1,3.052188791322314,3.052188791322314,-0.4406006543948773,7,3.4927894457171913,1,0.4406006543948773,B_1,frozen/full
4,3.191972519219104,3.191972519219104,-0.24958965641935205,7,3.441562175638456,4,0.24958965641935205,B_prime_1,frozen/full
2,2.6783521231306153,2.5710684373429866,-0.25620411395425347,7,2.934556237084869,2,0.36348779974188217,C_1,frozen/full
0,3.0067205885369788,2.9262017456868294,0.08051884285014932,8,2.9262017456868294,0,0.0,A_1,frozen/full
5,3.066792876158014,3.0632499990669495,0.0035428770910646,8,3.0632499990669495,5,0.0,A_2,frozen/full
7,2.9465454830626263,2.9258984377945714,0.020647045268054942,8,2.9258984377945714,7,0.0,A_merge,frozen/full
1,3.052188791322314,3.052188791322314,-0.4941873885946264,8,3.5463761799169404,1,0.4941873885946264,B_1,frozen/full
4,3.191972519219104,3.191972519219104,-0.31601369097453436,8,3.5079862101936383,4,0.31601369097453436,B_prime_1,frozen/full
2,2.6783521231306153,2.5710684373429866,-0.4655414691939481,8,3.1438935923245634,2,0.5728251549815768,C_1,frozen/full
0,3.0067205885369788,2.9262017456868294,-0.4167025901396708,9,3.4234231786766496,0,0.49722143298982013,A_1,frozen/full
5,3.066792876158014,3.0632499990669495,-0.4172488010377102,9,3.4840416771957243,5,0.4207916781287748,A_2,frozen/full
7,2.9465454830626263,2.9258984377945714,-0.4560788938897917,9,3.402624376952418,7,0.47672593915784667,A_merge,frozen/full
1,3.052188791322314,3.052188791322314,-0.2399086836237272,9,3.292097474946041,1,0.2399086836237272,B_1,frozen/full
4,3.191972519219104,3.191972519219104,-0.06355047618918963,9,3.2555229954082936,4,0.06355047618918963,B_prime_1,frozen/full
2,2.6783521231306153,2.5710684373429866,-0.4652852562306662,9,3.1436373793612815,2,0.5725689420182949,C_1,frozen/full
9,2.8404379241091915,2.8404379241091915,,9,2.8404379241091915,9,0.0,E_1,frozen/full
