task_id,pre_nll,post_nll,scratch_nll,shift_type,recurrence_of,new_persistent_regimes,adaptation_gain_nll,fwt_nll,fwt_eligible,fwt_status
0,,3.0387274324752642,3.5199755491832807,initial,,"[""A_1""]",,,False,excluded_not_unseen_law_task
1,3.9501292641592207,3.1841453976101346,3.575584682011513,novel,,"[""B_1""]",0.7659838665490861,-0.3745445821477076,True,available
2,3.1904006205540836,2.67560009551521,3.1403880582343033,novel,,"[""C_1""]",0.5148005250388734,-0.05001256231978024,True,available
3,3.325828964841434,3.2529256773628363,3.478647192243833,exact_recurrence,A_1,[],0.07290328747859753,,False,excluded_not_unseen_law_task
4,3.1637100939123566,3.075783938273011,3.3603999324826983,near_recurrence,B_1,"[""B_prime_1""]",0.08792615563934536,0.19668983857034172,True,available
5,3.2189513180579667,2.990111242223669,3.4926708117826486,specialization,A_1,"[""A_2""]",0.22884007583429788,0.27371949372468185,True,available
6,3.1721885435042845,2.766433675414275,3.2586115183713176,transient_anomaly,C_1,[],0.4057548680900096,,False,excluded_not_unseen_law_task
7,3.319356747682414,3.0213329034221683,3.476006644112723,merge,A_1|A_2,"[""A_merge""]",0.29802384426024586,0.1566498964303089,True,available
8,3.0168998918556085,2.9970113458383056,3.4597259812821637,long_gap_recurrence,A_1,[],0.019888546017302833,,False,excluded_not_unseen_law_task
9,3.5195683102600723,3.087387630184433,3.4238815270273113,mixture,,"[""E_1""]",0.43218068007563915,-0.09568678323276103,True,available
