A_1,A_2,A_merge,B_1,B_prime_1,C_1,E_1,checkpoint_task,variant
3.0067205885369788,3.145747604578726,2.9967747710386297,3.9178370992577203,3.8695101916495283,3.3017888938644044,3.4728013616068014,0,frozen/full
3.356111676770714,3.4374528657788517,3.3505153435077446,3.052188791322314,3.001152737381488,3.1941119007625316,3.329552185984727,1,frozen/full
3.285943757520066,3.415348015997856,3.276121327315518,3.3333744125636438,3.2877466566904534,2.6783521231306153,3.3336685188132877,2,frozen/full
3.216537221333323,3.334338630754024,3.204779558660441,3.3259093211420594,3.282311741537225,2.668556387517672,3.2791792673044675,3,frozen/full
3.177888933348389,3.2862929178949556,3.16863776910259,3.235123885874202,3.191972519219104,2.7203977038851304,3.209730154850643,4,frozen/full
2.945007553046103,3.066792876158014,2.943379219894704,3.405354981045233,3.3506759524990986,3.0559004871421322,3.3183063837575144,5,frozen/full
3.2784490297022844,3.382344797064705,3.2719471058790286,3.425034178246292,3.370550449803377,2.5710684373429866,3.3571879965268216,6,frozen/full
2.9504305161455933,3.07729512365665,2.9465454830626263,3.4927894457171913,3.441562175638456,2.934556237084869,3.3186370954172784,7,frozen/full
2.9262017456868294,3.0632499990669495,2.9258984377945714,3.5463761799169404,3.5079862101936383,3.1438935923245634,3.4143535223768087,8,frozen/full
3.4234231786766496,3.4840416771957243,3.402624376952418,3.292097474946041,3.2555229954082936,3.1436373793612815,2.8404379241091915,9,frozen/full
