Epoch,Split,Log-likelihood,Accuracy,RMSE,num_events,SelectionMetric
1,train,-3.3323943069677036,,,8360,validation_loglike
1,valid,-3.0538462472792287,,,2010,validation_loglike
2,train,-3.0149586946770337,,,8360,validation_loglike
2,valid,-2.948798245102612,,,2010,validation_loglike
3,train,-2.950647848758971,,,8360,validation_loglike
3,valid,-2.9473491915422887,,,2010,validation_loglike
4,train,-2.9599637410287083,,,8360,validation_loglike
4,valid,-2.904527654695274,,,2010,validation_loglike
5,train,-2.877293520110646,,,8360,validation_loglike
5,valid,-2.926310828669154,,,2010,validation_loglike
6,train,-2.8848270690041864,,,8360,validation_loglike
6,valid,-2.9443519706156716,,,2010,validation_loglike
7,train,-2.8888498990729663,,,8360,validation_loglike
7,valid,-2.9174955301616916,,,2010,validation_loglike
8,train,-2.878164950284091,,,8360,validation_loglike
8,valid,-2.9935503148320897,,,2010,validation_loglike
9,train,-2.9408932042464113,,,8360,validation_loglike
9,valid,-2.9030625680192785,,,2010,validation_loglike
10,train,-2.8657581676136363,,,8360,validation_loglike
10,valid,-2.8472641674440298,,,2010,validation_loglike
11,train,-2.8232919501345695,,,8360,validation_loglike
11,valid,-2.8873401546952735,,,2010,validation_loglike
12,train,-2.857162081339713,,,8360,validation_loglike
12,valid,-2.898594430192786,,,2010,validation_loglike
13,train,-2.8620465292314594,,,8360,validation_loglike
13,valid,-2.8856778121113185,,,2010,validation_loglike
14,train,-2.8584963273773925,,,8360,validation_loglike
14,valid,-2.837311975279851,,,2010,validation_loglike
15,train,-2.8115182976973685,,,8360,validation_loglike
15,valid,-2.7865691075870647,,,2010,validation_loglike
16,train,-2.761857524671053,,,8360,validation_loglike
16,valid,-2.7786030783582087,,,2010,validation_loglike
17,train,-2.7656782670454545,,,8360,validation_loglike
17,valid,-2.8048609491604477,,,2010,validation_loglike
18,train,-2.7886700059808613,,,8360,validation_loglike
18,valid,-2.82363329835199,,,2010,validation_loglike
19,train,-2.80085998243122,,,8360,validation_loglike
19,valid,-2.7846322586287315,,,2010,validation_loglike
20,train,-2.7647498317882775,,,8360,validation_loglike
20,valid,-2.771112455301617,,,2010,validation_loglike
21,train,-2.7372895017194976,,,8360,validation_loglike
21,valid,-2.8250021863339554,,,2010,validation_loglike
22,train,-2.785350160735646,,,8360,validation_loglike
