Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -5.47916,  0.26667,  3.99036
1, validation, -4.74012,  0.26667,  3.59855
2, train, -4.71647,  0.26667,  3.57154
2, validation, -4.47364,  0.26667,  3.26567
3, train, -4.49463,  0.26667,  3.29820
3, validation, -4.39632,  0.26667,  3.03838
4, train, -4.45029,  0.26667,  3.13292
4, validation, -4.37800,  0.33333,  2.90868
5, train, -4.42433,  0.33333,  2.97978
5, validation, -4.37208,  0.40000,  2.85247
6, train, -4.38232,  0.33333,  2.87242
6, validation, -4.35644,  0.40000,  2.83584
7, train, -4.35851,  0.40000,  2.83103
7, validation, -4.33047,  0.40000,  2.83322
8, train, -4.33361,  0.33333,  2.83228
8, validation, -4.29552,  0.33333,  2.82785
9, train, -4.31523,  0.26667,  2.84167
9, validation, -4.25393,  0.40000,  2.81160
10, train, -4.26655,  0.33333,  2.78869
10, validation, -4.20902,  0.40000,  2.78420
11, train, -4.23828,  0.46667,  2.81953
11, validation, -4.16542,  0.40000,  2.75151
12, train, -4.17003,  0.40000,  2.74830
12, validation, -4.12434,  0.53333,  2.71629
13, train, -4.13139,  0.40000,  2.71042
13, validation, -4.08815,  0.46667,  2.68181
14, train, -4.11396,  0.46667,  2.66597
14, validation, -4.05649,  0.46667,  2.64823
15, train, -4.05223,  0.46667,  2.65789
15, validation, -4.02705,  0.46667,  2.61501
16, train, -4.05661,  0.46667,  2.64603
16, validation, -3.99676,  0.46667,  2.58048
17, train, -4.02177,  0.53333,  2.59866
17, validation, -3.96399,  0.53333,  2.54289
18, train, -3.97519,  0.60000,  2.57058
18, validation, -3.92959,  0.60000,  2.50325
19, train, -3.95528,  0.60000,  2.55413
19, validation, -3.89542,  0.66667,  2.46259
20, train, -3.92651,  0.66667,  2.50831
20, validation, -3.86154,  0.66667,  2.42172
21, train, -3.89132,  0.66667,  2.43984
21, validation, -3.84392,  0.66667,  2.39897
22, train, -3.86688,  0.60000,  2.43980
22, validation, -3.82510,  0.66667,  2.37427
23, train, -3.83915,  0.66667,  2.37273
23, validation, -3.80519,  0.66667,  2.34713
24, train, -3.85086,  0.60000,  2.35234
24, validation, -3.78465,  0.66667,  2.31896
25, train, -3.80775,  0.60000,  2.35535
25, validation, -3.76364,  0.66667,  2.28934
