checkpoint_task,variant,current_nll_per_event,current_accuracy,clnll,average_forgetting,average_bwt
0,frozen/full,3.0387274324752642,0.34186818397344715,3.0067205885369788,0.0,
1,frozen/full,3.1841453976101346,0.28735632183908044,3.204150234046514,0.1746955441168676,-0.3493910882337352
2,frozen/full,2.67560009551521,0.31113370615149977,3.0992234310714415,0.1868029300748056,-0.2802043951122084
3,frozen/full,3.2529256773628363,0.18358633776091082,3.0703343099976848,0.1611790542053632,-0.1579138090010487
4,frozen/full,3.075783938273011,0.1781637717121588,3.0813457605817063,0.10148618893268924,-0.1320496733726045
5,frozen/full,2.990111242223669,0.38419753086419756,3.164746369978116,0.1798427445254748,-0.2069262378808887
6,frozen/full,2.766433675414275,0.359653346172364,3.205489378431929,0.24008334301422468,-0.2062839987585238
7,frozen/full,3.0213329034221683,0.3405832921403856,3.1405298302175644,0.17826722019237295,-0.18012131997514666
8,frozen/full,2.9970113458383056,0.3460620525059666,3.185601027497249,0.23050437242512292,-0.19517229725897334
9,frozen/full,3.087387630184433,0.29466470876162504,3.2631121438070854,0.32439530744395045,-0.34312911685179265
