checkpoint_task,checkpoint,eval_name,eval_kind,eval_task,regime_id,stage_label,variant,protocol,memory_view,nll_per_event,accuracy,local_time_mae,events
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_00_best.pt,task_00_test,task_test,0,A_1,A_1_initial,frozen/full,frozen,full,3.0387274324752642,0.34186818397344715,1.186933415260514,2109
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_00_best.pt,task_01_test_pre,task_test_pre,1,B_1,B_1_novel,frozen/full,frozen,full,3.9501292641592207,0.08045977011494253,1.539427991114357,2088
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_01_best.pt,task_01_test,task_test,1,B_1,B_1_novel,frozen/full,frozen,full,3.1841453976101346,0.28735632183908044,1.2150506991536225,2088
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_01_best.pt,task_02_test_pre,task_test_pre,2,C_1,C_1_novel,frozen/full,frozen,full,3.1904006205540836,0.12760549059481444,0.9345379932677013,1967
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_02_best.pt,task_02_test,task_test,2,C_1,C_1_novel,frozen/full,frozen,full,2.67560009551521,0.31113370615149977,0.893099513827209,1967
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_02_best.pt,task_03_test_pre,task_test_pre,3,A_1,A_1_exact_recurrence,frozen/full,frozen,full,3.325828964841434,0.15986717267552183,1.1949285112703096,2108
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_03_best.pt,task_03_test,task_test,3,A_1,A_1_exact_recurrence,frozen/full,frozen,full,3.2529256773628363,0.18358633776091082,1.1922762814690084,2108
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_03_best.pt,task_04_test_pre,task_test_pre,4,B_prime_1,B_prime_1_near_recurrence,frozen/full,frozen,full,3.1637100939123566,0.18312655086848637,1.1067714331463607,2015
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_04_best.pt,task_04_test,task_test,4,B_prime_1,B_prime_1_near_recurrence,frozen/full,frozen,full,3.075783938273011,0.1781637717121588,1.1192840481514374,2015
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_04_best.pt,task_05_test_pre,task_test_pre,5,A_2,A_2_specialization,frozen/full,frozen,full,3.2189513180579667,0.19506172839506172,1.1928563115626205,2025
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_05_best.pt,task_05_test,task_test,5,A_2,A_2_specialization,frozen/full,frozen,full,2.990111242223669,0.38419753086419756,1.1692842337525922,2025
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_05_best.pt,task_06_test_pre,task_test_pre,6,,C_1_with_transient_X,frozen/full,frozen,full,3.1721885435042845,0.12229176697159365,0.9999996804249763,2077
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_06_best.pt,task_06_test,task_test,6,,C_1_with_transient_X,frozen/full,frozen,full,2.766433675414275,0.359653346172364,0.9669259511684074,2077
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_06_best.pt,task_07_test_pre,task_test_pre,7,A_merge,A_merge,frozen/full,frozen,full,3.319356747682414,0.10776075135936727,1.1612046619364371,2023
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_07_best.pt,task_07_test,task_test,7,A_merge,A_merge,frozen/full,frozen,full,3.0213329034221683,0.3405832921403856,1.1405782996576963,2023
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_07_best.pt,task_08_test_pre,task_test_pre,8,A_1,A_1_long_gap_recurrence,frozen/full,frozen,full,3.0168998918556085,0.3455847255369928,1.1189512047961105,2095
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_08_best.pt,task_08_test,task_test,8,A_1,A_1_long_gap_recurrence,frozen/full,frozen,full,2.9970113458383056,0.3460620525059666,1.1214539338979062,2095
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_08_best.pt,task_09_test_pre,task_test_pre,9,,E_1_B_1_mixture,frozen/full,frozen,full,3.5195683102600723,0.11894273127753303,1.2267340176022643,2043
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_09_best.pt,task_09_test,task_test,9,,E_1_B_1_mixture,frozen/full,frozen,full,3.087387630184433,0.29466470876162504,1.1332035354113847,2043
