checkpoint_task,variant,regime_id,forgetting_nll,bwt_nll
0,frozen/full,A_1,0.0,
1,frozen/full,A_1,0.3493910882337352,-0.3493910882337352
1,frozen/full,B_1,0.0,
2,frozen/full,A_1,0.2792231689830871,-0.2792231689830871
2,frozen/full,B_1,0.28118562124132973,-0.28118562124132973
2,frozen/full,C_1,0.0,
3,frozen/full,A_1,0.20981663279634422,-0.20981663279634422
3,frozen/full,B_1,0.2737205298197454,-0.2737205298197454
3,frozen/full,C_1,0.0,0.009795735612943446
4,frozen/full,A_1,0.1711683448114103,-0.1711683448114103
4,frozen/full,B_1,0.18293509455188817,-0.18293509455188817
4,frozen/full,B_prime_1,0.0,
4,frozen/full,C_1,0.05184131636745848,-0.04204558075451503
5,frozen/full,A_1,0.0,0.0617130354908757
5,frozen/full,A_2,0.0,
5,frozen/full,B_1,0.353166189722919,-0.353166189722919
5,frozen/full,B_prime_1,0.1587034332799946,-0.1587034332799946
5,frozen/full,C_1,0.38734409962446037,-0.3775483640115169
6,frozen/full,A_1,0.3334414766561813,-0.2717284411653056
6,frozen/full,A_2,0.31555192090669104,-0.31555192090669104
6,frozen/full,B_1,0.37284538692397806,-0.37284538692397806
6,frozen/full,B_prime_1,0.17857793058427296,-0.17857793058427296
6,frozen/full,C_1,0.0,0.1072836857876287
7,frozen/full,A_1,0.005422963099490197,0.056290072391385504
7,frozen/full,A_2,0.010502247498636041,-0.010502247498636041
7,frozen/full,A_merge,0.0,
7,frozen/full,B_1,0.4406006543948773,-0.4406006543948773
7,frozen/full,B_prime_1,0.24958965641935205,-0.24958965641935205
7,frozen/full,C_1,0.36348779974188217,-0.25620411395425347
8,frozen/full,A_1,0.0,0.08051884285014932
8,frozen/full,A_2,0.0,0.0035428770910646
8,frozen/full,A_merge,0.0,0.020647045268054942
8,frozen/full,B_1,0.4941873885946264,-0.4941873885946264
8,frozen/full,B_prime_1,0.31601369097453436,-0.31601369097453436
8,frozen/full,C_1,0.5728251549815768,-0.4655414691939481
9,frozen/full,A_1,0.49722143298982013,-0.4167025901396708
9,frozen/full,A_2,0.4207916781287748,-0.4172488010377102
9,frozen/full,A_merge,0.47672593915784667,-0.4560788938897917
9,frozen/full,B_1,0.2399086836237272,-0.2399086836237272
9,frozen/full,B_prime_1,0.06355047618918963,-0.06355047618918963
9,frozen/full,C_1,0.5725689420182949,-0.4652852562306662
9,frozen/full,E_1,0.0,
