Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -3.39681,  0.06452,  2.38484
1, validation, -3.34143,  0.12903,  2.31809
2, train, -3.32974,  0.06452,  2.30614
2, validation, -3.29551,  0.19355,  2.27654
3, train, -3.28347,  0.19355,  2.25301
3, validation, -3.25365,  0.22581,  2.25063
4, train, -3.25891,  0.22581,  2.25855
4, validation, -3.21604,  0.22581,  2.23380
5, train, -3.22656,  0.22581,  2.23748
5, validation, -3.18231,  0.22581,  2.22297
6, train, -3.19336,  0.22581,  2.22810
6, validation, -3.15157,  0.22581,  2.21561
7, train, -3.15668,  0.22581,  2.21523
7, validation, -3.12282,  0.19355,  2.20993
8, train, -3.12801,  0.22581,  2.21653
8, validation, -3.09566,  0.19355,  2.20524
9, train, -3.09814,  0.19355,  2.20979
9, validation, -3.06967,  0.19355,  2.20103
10, train, -3.07426,  0.22581,  2.20624
10, validation, -3.04438,  0.16129,  2.19680
11, train, -3.04259,  0.19355,  2.20116
11, validation, -3.01954,  0.16129,  2.19241
12, train, -3.02953,  0.19355,  2.20699
12, validation, -2.99518,  0.25806,  2.18805
13, train, -3.01134,  0.16129,  2.19865
13, validation, -2.97143,  0.25806,  2.18391
14, train, -2.97982,  0.25806,  2.19276
14, validation, -2.94833,  0.29032,  2.18021
15, train, -2.94652,  0.22581,  2.17438
15, validation, -2.92596,  0.29032,  2.17721
16, train, -2.94692,  0.25806,  2.18310
16, validation, -2.90437,  0.29032,  2.17489
17, train, -2.91539,  0.29032,  2.18218
17, validation, -2.88337,  0.32258,  2.17285
18, train, -2.88603,  0.32258,  2.16361
18, validation, -2.86267,  0.32258,  2.17074
19, train, -2.86087,  0.32258,  2.15962
19, validation, -2.84238,  0.32258,  2.16859
20, train, -2.85683,  0.29032,  2.17214
20, validation, -2.82215,  0.32258,  2.16624
