Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -3.14378,  0.29067,  2.00969
1, validation, -3.06713,  0.30072,  1.90562
2, train, -3.13517,  0.28907,  2.00588
2, validation, -3.06042,  0.29880,  1.89865
3, train, -3.13025,  0.29339,  2.00596
3, validation, -3.05731,  0.29928,  1.89788
4, train, -3.12423,  0.29759,  2.00247
4, validation, -3.05601,  0.29687,  1.89962
5, train, -3.12017,  0.29512,  2.00144
5, validation, -3.05386,  0.29831,  1.89774
6, train, -3.11712,  0.29450,  2.00114
6, validation, -3.05166,  0.29831,  1.89650
7, train, -3.11388,  0.29401,  2.00016
7, validation, -3.05016,  0.29928,  1.89659
8, train, -3.11129,  0.29426,  2.00038
8, validation, -3.04803,  0.30217,  1.89633
9, train, -3.10826,  0.29759,  1.99815
9, validation, -3.04590,  0.29494,  1.89534
10, train, -3.10600,  0.29685,  1.99776
10, validation, -3.04415,  0.29928,  1.89474
11, train, -3.10324,  0.29759,  1.99732
11, validation, -3.04268,  0.30313,  1.89421
12, train, -3.10114,  0.29537,  1.99608
12, validation, -3.04183,  0.30554,  1.89423
13, train, -3.09985,  0.29920,  1.99576
13, validation, -3.04076,  0.30313,  1.89364
14, train, -3.09580,  0.29537,  1.99405
14, validation, -3.04012,  0.29976,  1.89359
15, train, -3.09527,  0.30364,  1.99305
15, validation, -3.03839,  0.30892,  1.89248
16, train, -3.09335,  0.29771,  1.99372
16, validation, -3.03819,  0.30554,  1.89272
17, train, -3.09457,  0.29463,  1.99451
17, validation, -3.03589,  0.31084,  1.89140
18, train, -3.08997,  0.30352,  1.99242
18, validation, -3.03561,  0.30361,  1.89139
19, train, -3.08863,  0.30439,  1.99108
19, validation, -3.03656,  0.30747,  1.89313
20, train, -3.08792,  0.30414,  1.99039
20, validation, -3.03609,  0.30410,  1.89170
