checkpoint_task,checkpoint,eval_name,regime_id,variant,protocol,memory_view,nll_per_event,accuracy,local_time_mae
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_00_best.pt,anchor_A_1,A_1,fast_adapt/full,fast_adapt,full,3.0067108960640883,0.3444417995715306,1.1905674615436381
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_00_best.pt,anchor_B_1,B_1,fast_adapt/full,fast_adapt,full,3.9173072607767767,0.07343565525383708,1.5150436041065203
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_00_best.pt,anchor_C_1,C_1,fast_adapt/full,fast_adapt,full,3.3009636242783538,0.12206809583858765,1.0550868954363868
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_00_best.pt,anchor_B_prime_1,B_prime_1,fast_adapt/full,fast_adapt,full,3.869022575074823,0.07864374852837297,1.511938047936756
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_00_best.pt,anchor_A_2,A_2,fast_adapt/full,fast_adapt,full,3.145721912502561,0.31742480735769324,1.1997149304137016
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_00_best.pt,anchor_X_transient,X_transient,fast_adapt/full,fast_adapt,full,3.1844971189605547,0.25767309064953603,1.1195803516795457
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_00_best.pt,anchor_A_merge,A_merge,fast_adapt/full,fast_adapt,full,2.9967684469628058,0.33663127413127414,1.130515634323179
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_00_best.pt,anchor_E_1,E_1,fast_adapt/full,fast_adapt,full,3.4722687155956504,0.14488497307880568,1.0852912953246532
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_01_best.pt,anchor_A_1,A_1,fast_adapt/full,fast_adapt,full,3.3554845790413554,0.23137348250416567,1.3098363270222702
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_01_best.pt,anchor_B_1,B_1,fast_adapt/full,fast_adapt,full,3.0522647700033896,0.2819362455726092,1.1263481856236914
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_01_best.pt,anchor_C_1,C_1,fast_adapt/full,fast_adapt,full,3.1930623000386684,0.12206809583858765,0.9493825392945567
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_01_best.pt,anchor_B_prime_1,B_prime_1,fast_adapt/full,fast_adapt,full,3.0011854950949983,0.27125029432540615,1.1350342979817383
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_01_best.pt,anchor_A_2,A_2,fast_adapt/full,fast_adapt,full,3.436907067276369,0.19139945314441958,1.303517319093496
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_01_best.pt,anchor_X_transient,X_transient,fast_adapt/full,fast_adapt,full,3.3761215445940307,0.18629550321199143,1.2061511948935169
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_01_best.pt,anchor_A_merge,A_merge,fast_adapt/full,fast_adapt,full,3.349912503511289,0.2097007722007722,1.2414536632626214
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_01_best.pt,anchor_E_1,E_1,fast_adapt/full,fast_adapt,full,3.3289262208644512,0.11722956436612825,1.0788303380845752
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_02_best.pt,anchor_A_1,A_1,fast_adapt/full,fast_adapt,full,3.2856059665766195,0.1740061890026184,1.1889151913925058
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_02_best.pt,anchor_B_1,B_1,fast_adapt/full,fast_adapt,full,3.3332874861067556,0.18016528925619835,1.1475576673235213
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_02_best.pt,anchor_C_1,C_1,fast_adapt/full,fast_adapt,full,2.6783307444703532,0.30491803278688523,0.9120946431971739
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_02_best.pt,anchor_B_prime_1,B_prime_1,fast_adapt/full,fast_adapt,full,3.287600970644375,0.17353425947727807,1.1599871723237025
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_02_best.pt,anchor_A_2,A_2,fast_adapt/full,fast_adapt,full,3.4149775570256184,0.15560526969922944,1.1932288337459085
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_02_best.pt,anchor_X_transient,X_transient,fast_adapt/full,fast_adapt,full,3.3239010201163044,0.16654770402093744,1.0897618270391174
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_02_best.pt,anchor_A_merge,A_merge,fast_adapt/full,fast_adapt,full,3.275802785365278,0.1686776061776062,1.1264597476679385
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_02_best.pt,anchor_E_1,E_1,fast_adapt/full,fast_adapt,full,3.333131133839014,0.1593245227606461,1.0051204505879332
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_03_best.pt,anchor_A_1,A_1,fast_adapt/full,fast_adapt,full,3.216247571306381,0.19495358248036182,1.1877136534663844
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_03_best.pt,anchor_B_1,B_1,fast_adapt/full,fast_adapt,full,3.325777758673766,0.17615112160566707,1.1571386515179378
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_03_best.pt,anchor_C_1,C_1,fast_adapt/full,fast_adapt,full,2.6684425459834094,0.2703656998738966,0.9198147120722305
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_03_best.pt,anchor_B_prime_1,B_prime_1,fast_adapt/full,fast_adapt,full,3.282127202525542,0.1667059100541559,1.1691778536428978
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_03_best.pt,anchor_A_2,A_2,fast_adapt/full,fast_adapt,full,3.3340299636192237,0.1754909271687795,1.1917878605375354
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_03_best.pt,anchor_X_transient,X_transient,fast_adapt/full,fast_adapt,full,3.2476328001855075,0.17582679038781823,1.0888016288007636
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_03_best.pt,anchor_A_merge,A_merge,fast_adapt/full,fast_adapt,full,3.204505202392814,0.19184362934362933,1.1250686857230876
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_03_best.pt,anchor_E_1,E_1,fast_adapt/full,fast_adapt,full,3.278589133824196,0.19554576603034754,1.008029483080027
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_04_best.pt,anchor_A_1,A_1,fast_adapt/full,fast_adapt,full,3.177574540909856,0.1997143537253035,1.2039485936844754
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_04_best.pt,anchor_B_1,B_1,fast_adapt/full,fast_adapt,full,3.2350679219683904,0.17331759149940967,1.1699885948208175
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_04_best.pt,anchor_C_1,C_1,fast_adapt/full,fast_adapt,full,2.720087422278309,0.2575031525851198,0.9418332185300271
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_04_best.pt,anchor_B_prime_1,B_prime_1,fast_adapt/full,fast_adapt,full,3.191860176519363,0.16317400518012715,1.1798688350971205
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_04_best.pt,anchor_A_2,A_2,fast_adapt/full,fast_adapt,full,3.285987690909715,0.17797663435247327,1.2087843888083887
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_04_best.pt,anchor_X_transient,X_transient,fast_adapt/full,fast_adapt,full,3.209757766523958,0.16749940518677137,1.1106371029825004
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_04_best.pt,anchor_A_merge,A_merge,fast_adapt/full,fast_adapt,full,3.1683302975069143,0.20463320463320464,1.1397408030668281
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_04_best.pt,anchor_E_1,E_1,fast_adapt/full,fast_adapt,full,3.209093012648707,0.20044052863436124,1.0331195811693188
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_05_best.pt,anchor_A_1,A_1,fast_adapt/full,fast_adapt,full,2.9450075603104637,0.37895739109735777,1.1654636057976513
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_05_best.pt,anchor_B_1,B_1,fast_adapt/full,fast_adapt,full,3.4053549504195644,0.15962219598583235,1.2769505740619467
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_05_best.pt,anchor_C_1,C_1,fast_adapt/full,fast_adapt,full,3.0559004371133156,0.1008827238335435,0.9542301404070282
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_05_best.pt,anchor_B_prime_1,B_prime_1,fast_adapt/full,fast_adapt,full,3.3506759273492226,0.17400518012714858,1.2883220274700455
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_05_best.pt,anchor_A_2,A_2,fast_adapt/full,fast_adapt,full,3.066792849607797,0.3554561272682078,1.1739581933283492
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_05_best.pt,anchor_X_transient,X_transient,fast_adapt/full,fast_adapt,full,3.086937518849306,0.3004996431120628,1.0864703523071784
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_05_best.pt,anchor_A_merge,A_merge,fast_adapt/full,fast_adapt,full,2.9433791149537076,0.361003861003861,1.1081949292923032
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_05_best.pt,anchor_E_1,E_1,fast_adapt/full,fast_adapt,full,3.318306417367182,0.10083210964268233,1.0197776518087438
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_06_best.pt,anchor_A_1,A_1,fast_adapt/full,fast_adapt,full,3.278449056943636,0.11449654844084742,1.197029205028059
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_06_best.pt,anchor_B_1,B_1,fast_adapt/full,fast_adapt,full,3.4250343007489668,0.09775678866587957,1.1501410059833188
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_06_best.pt,anchor_C_1,C_1,fast_adapt/full,fast_adapt,full,2.571068454660654,0.3863808322824716,0.9092147610677597
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_06_best.pt,anchor_B_prime_1,B_prime_1,fast_adapt/full,fast_adapt,full,3.3705504965102895,0.08782670120084765,1.1633500439828217
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_06_best.pt,anchor_A_2,A_2,fast_adapt/full,fast_adapt,full,3.38234477620382,0.10787969177230922,1.205873075718018
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_06_best.pt,anchor_X_transient,X_transient,fast_adapt/full,fast_adapt,full,3.2729653306952438,0.1287175826790388,1.1017735998828497
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_06_best.pt,anchor_A_merge,A_merge,fast_adapt/full,fast_adapt,full,3.27194712428973,0.11172779922779923,1.13270598672992
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_06_best.pt,anchor_E_1,E_1,fast_adapt/full,fast_adapt,full,3.357188030136489,0.08712677435144396,1.0221014582988275
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_07_best.pt,anchor_A_1,A_1,fast_adapt/full,fast_adapt,full,2.950430548835215,0.3715781956676982,1.1652575308752753
