Epoch,Split,Log-likelihood,Accuracy,RMSE,num_events,SelectionMetric
1,train,-3.6685109273996828,,,8199,validation_loglike
1,valid,-3.132688651666876,,,1991,validation_loglike
2,train,-3.3490097877789973,,,8199,validation_loglike
2,valid,-3.202414772727273,,,1991,validation_loglike
3,train,-3.297783075679961,,,8199,validation_loglike
3,valid,-3.207297094738825,,,1991,validation_loglike
4,train,-3.289617541011099,,,8199,validation_loglike
4,valid,-3.0393761673625064,,,1991,validation_loglike
5,train,-3.200967724722527,,,8199,validation_loglike
5,valid,-3.045295381953164,,,1991,validation_loglike
6,train,-3.239089990014026,,,8199,validation_loglike
6,valid,-2.988592955408714,,,1991,validation_loglike
7,train,-3.145685163587023,,,8199,validation_loglike
7,valid,-2.9558896381372426,,,1991,validation_loglike
8,train,-3.093308349341383,,,8199,validation_loglike
8,valid,-2.8975764475295076,,,1991,validation_loglike
9,train,-3.061281530140871,,,8199,validation_loglike
9,valid,-2.896214606353591,,,1991,validation_loglike
10,train,-3.0804399736248325,,,8199,validation_loglike
10,valid,-2.903993262650678,,,1991,validation_loglike
11,train,-3.0944725061745335,,,8199,validation_loglike
11,valid,-2.901162653817177,,,1991,validation_loglike
12,train,-3.052787020520795,,,8199,validation_loglike
12,valid,-2.9425794983676545,,,1991,validation_loglike
13,train,-3.0681802373002807,,,8199,validation_loglike
13,valid,-2.8444776396126317,,,1991,validation_loglike
14,train,-3.007355603579705,,,8199,validation_loglike
14,valid,-2.8442495624843045,,,1991,validation_loglike
15,train,-3.036572200115868,,,8199,validation_loglike
15,valid,-2.8275859531956304,,,1991,validation_loglike
16,train,-2.9968624698896207,,,8199,validation_loglike
16,valid,-2.8757796313881214,,,1991,validation_loglike
17,train,-3.0072674640200026,,,8199,validation_loglike
17,valid,-2.8206636897287796,,,1991,validation_loglike
18,train,-2.985991288952921,,,8199,validation_loglike
18,valid,-2.816684847438473,,,1991,validation_loglike
19,train,-3.0193640230515917,,,8199,validation_loglike
19,valid,-2.856464196305249,,,1991,validation_loglike
20,train,-3.0023192614953045,,,8199,validation_loglike
20,valid,-2.8440688174912103,,,1991,validation_loglike
21,train,-2.9867511948865717,,,8199,validation_loglike
21,valid,-2.7844053121860872,,,1991,validation_loglike
22,train,-2.9770703744359066,,,8199,validation_loglike
22,valid,-2.8011927698078853,,,1991,validation_loglike
23,train,-2.9954029264239543,,,8199,validation_loglike
23,valid,-2.811800563473129,,,1991,validation_loglike
24,train,-2.96953515672643,,,8199,validation_loglike
24,valid,-2.910858138969111,,,1991,validation_loglike
25,train,-3.027207967435053,,,8199,validation_loglike
25,valid,-2.965058093451783,,,1991,validation_loglike
26,train,-3.074585601140383,,,8199,validation_loglike
