Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -3.21352,  0.00000,  1.12754
1, validation, -3.08373,  1.00000,  1.26570
2, train, -3.13388,  1.00000,  1.19870
2, validation, -2.88223,  1.00000,  1.10778
3, train, -2.88856,  1.00000,  1.10470
3, validation, -2.68332,  1.00000,  0.91806
4, train, -2.77707,  1.00000,  0.97977
4, validation, -2.49736,  1.00000,  0.70633
5, train, -2.48504,  1.00000,  0.66785
5, validation, -2.32445,  1.00000,  0.48227
6, train, -2.34828,  1.00000,  0.47350
6, validation, -2.17252,  1.00000,  0.26317
7, train, -2.17566,  1.00000,  0.03536
7, validation, -2.05322,  1.00000,  0.09370
8, train, -2.05806,  1.00000,  0.14325
8, validation, -1.96221,  1.00000,  0.04260
9, train, -2.00370,  1.00000,  0.06470
9, validation, -1.89585,  1.00000,  0.14603
10, train, -1.89910,  1.00000,  0.15023
10, validation, -1.84469,  1.00000,  0.21305
11, train, -1.88393,  1.00000,  0.24346
11, validation, -1.79476,  1.00000,  0.24236
12, train, -1.84820,  1.00000,  0.26879
12, validation, -1.74141,  1.00000,  0.24536
13, train, -1.77857,  1.00000,  0.27994
13, validation, -1.68924,  1.00000,  0.23240
14, train, -1.74284,  1.00000,  0.27958
14, validation, -1.63970,  1.00000,  0.20598
15, train, -1.65742,  1.00000,  0.18899
15, validation, -1.59425,  1.00000,  0.17012
16, train, -1.62074,  1.00000,  0.15610
16, validation, -1.55263,  1.00000,  0.12552
17, train, -1.59376,  1.00000,  0.17513
17, validation, -1.51536,  1.00000,  0.07187
18, train, -1.52899,  1.00000,  0.06035
18, validation, -1.48208,  1.00000,  0.01374
19, train, -1.49125,  1.00000,  0.02959
19, validation, -1.45263,  1.00000,  0.04758
20, train, -1.45785,  1.00000,  0.02876
20, validation, -1.42685,  1.00000,  0.10428
21, train, -1.43666,  1.00000,  0.09074
21, validation, -1.41526,  1.00000,  0.12482
22, train, -1.43555,  1.00000,  0.08627
22, validation, -1.40431,  1.00000,  0.14010
23, train, -1.42042,  1.00000,  0.11710
23, validation, -1.39417,  1.00000,  0.14681
24, train, -1.40182,  1.00000,  0.12460
24, validation, -1.38466,  1.00000,  0.14536
25, train, -1.39707,  1.00000,  0.09944
25, validation, -1.37575,  1.00000,  0.13933
