adaptation_gain_nll,fwt_eligible,fwt_nll,fwt_status,new_persistent_regimes,post_checkpoint_task,post_nll_per_event,pre_checkpoint_task,pre_nll_per_event,recurrence_of,regime_id,scratch_nll_per_event,shift_type,stage_label,task_id,variant
,False,,excluded_not_unseen_law_task,"[""A_1""]",0,3.05439406314016,,,,A_1,3.519975469597373,initial,A_1_initial,0,frozen/full
0.5360147907359392,True,-0.2962210790407611,available,"[""B_1""]",1,3.3357911237811675,0,3.8718059145171067,,B_1,3.5755848354763455,novel,B_1_novel,1,frozen/full
0.5056485135844957,True,0.07935873554270456,available,"[""C_1""]",2,2.5553808750449307,1,3.0610293886294264,,C_1,3.140388124172131,novel,C_1_novel,2,frozen/full
0.3648664485345079,False,,excluded_not_unseen_law_task,[],3,3.086482371958202,2,3.45134882049271,A_1,A_1,3.478647185005318,exact_recurrence,A_1_exact_recurrence,3,frozen/full
0.5413448172822486,True,-0.08207136584866426,available,"[""B_prime_1""]",4,2.9011265492025142,3,3.442471366484763,B_1,B_prime_1,3.3604000006360986,near_recurrence,B_prime_1_near_recurrence,4,frozen/full
0.2012473363052183,True,0.2421581654489775,available,"[""A_2""]",5,3.0492653401692706,4,3.250512676474489,A_1,A_2,3.4926708419234664,specialization,A_2_specialization,5,frozen/full
0.31174247495589746,False,,excluded_not_unseen_law_task,[],6,2.746166480867462,5,3.0579089558233594,C_1,,3.258611393479929,transient_anomaly,C_1_with_transient_X,6,frozen/full
0.331448440438618,True,0.04039034652521378,available,"[""A_merge""]",7,3.1041680080019716,6,3.4356164484405896,A_1|A_2,A_merge,3.4760067949658033,merge,A_merge,7,frozen/full
0.02244072597749458,False,,excluded_not_unseen_law_task,[],8,3.081627842577659,7,3.1040685685551535,A_1,A_1,3.4597258865975538,long_gap_recurrence,A_1_long_gap_recurrence,8,frozen/full
0.35751359204830546,True,0.008426063152953578,available,"[""E_1""]",9,3.057941841950792,8,3.4154554339990977,,,3.4238814971520513,mixture,E_1_B_1_mixture,9,frozen/full
