anchor_index,checkpoint,checkpoint_task,evaluation_scope,events,first_seen_task,nise,nise_type_0,nise_type_1,nise_type_2,nise_type_3,nise_type_4,nise_type_5,nise_type_6,nise_type_7,plot_path,regime_id,variant
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,0,seen_law,62,0,0.1707117616967398,0.16760706977160633,0.17901100032812597,0.09443720465225658,0.1629355951183016,0.14965120320276534,0.17820461976704557,0.16801088862614522,0.12142021613473834,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/native/intensity_curves/checkpoint_task_00/A_1_000.png,A_1,frozen/full
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,0,seen_law,69,0,0.1594529148428154,0.16457000043400632,0.160339707344118,0.09202457075156045,0.16793482117311498,0.1453410903419508,0.17700724800254033,0.15050242732403965,0.14189464306464036,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/native/intensity_curves/checkpoint_task_00/A_1_001.png,A_1,frozen/full
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,0,seen_law,57,0,0.20253872851435295,0.2058171129135998,0.2111404857757764,0.09291129441256214,0.24178374355830667,0.12434148599767274,0.2059780607448446,0.13206220318884726,0.1525387061010062,,A_1,frozen/full
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,0,seen_law,54,0,0.17798299443959384,0.20321821855781497,0.17296171089776524,0.08958141781443991,0.19356565061330355,0.1696067113754168,0.1795417953787982,0.11777859876020635,0.14734512577559714,,A_1,frozen/full
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,0,seen_law,77,0,0.19709405336845798,0.200026849018418,0.22494889502611062,0.08536195869765041,0.19331698641573314,0.1289998727522581,0.17821949508195067,0.15736355324296608,0.14953068193831123,,A_1,frozen/full
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,0,seen_law,49,0,0.15878492899264446,0.16631776310330193,0.16083967842415062,0.08957641854771872,0.17998725750345274,0.15954518334002848,0.16996654280281015,0.09846460044213566,0.13562123185222288,,A_1,frozen/full
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,0,seen_law,79,0,0.1734693556990691,0.18858023431183285,0.1649961175124881,0.06591697537847223,0.19521860625090368,0.1745331722817212,0.1694186305725208,0.16067827847103922,0.11708676641867348,,A_1,frozen/full
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,0,seen_law,62,0,0.18295329811254005,0.19720207196405193,0.17595646832299253,0.07507049685199672,0.22797437611812468,0.10252586359008921,0.1798058622477273,0.11886936597323851,0.11774632662560004,,A_1,frozen/full
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,0,seen_law,55,0,0.17562337148049004,0.16364963542368985,0.18523810040189734,0.06764381994546391,0.18380490960035584,0.09980374172298216,0.19295846054365107,0.2140380200517043,0.1180792647035056,,A_1,frozen/full
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,0,seen_law,77,0,0.18039102836324825,0.21283704782337565,0.19281734864974012,0.08958341871439006,0.1854544733994739,0.17353847409346035,0.1853524971240228,0.14651221754440727,0.16813723463059216,,A_1,frozen/full
