expected,formula,left_value,metric,right_value,value,variant
near_zero_or_negative,"L_2,A_1 - L_0,A_1",3.422582919187303,A_1_retention_before_task3,3.024283262242365,0.39829965694493774,frozen/full
positive,"L_2,A_1 - L_3,A_1",3.422582919187303,A_1_exact_recurrence_recovery_task3,3.047152389602643,0.37543052958465983,frozen/full
near_zero_or_negative,"L_5,B_1 - L_4,B_1",3.2298961797036414,B_1_near_recurrence_impact_task5,3.0809922003267505,0.14890397937689093,frozen/full
positive,"L_4,B_prime_1 - L_5,B_prime_1",3.0279160578839774,B_prime_1_near_recurrence_gain_task5,3.1696153141791497,-0.14169925629517222,frozen/full
near_zero_or_negative,"L_6,A_1 - L_5,A_1",3.4115574361596384,A_1_specialization_impact_task6,3.007570829257543,0.4039866069020954,frozen/full
positive,"L_5,A_2 - L_6,A_2",3.1222832262767892,A_2_specialization_gain_task6,3.4962273715533874,-0.37394414527659814,frozen/full
positive,"L_{5,6}^control - L_{6,6}^control",3.154895462043293,controls_task_06_no_transient_transient_control_adaptation_task6,2.805213305268809,0.3496821567744841,frozen/full
near_zero_or_negative,"(L_{5,6} - L_{6,6}) - (L_{5,6}^control - L_{6,6}^control)",0.31174247495589746,controls_task_06_no_transient_transient_excess_adaptation_task6,0.3496821567744841,-0.037939681818586646,frozen/full
near_zero_or_negative,"L_7,A_1 - L_0,A_1",3.0505989163695446,A_1_long_gap_reference_task8,3.024283262242365,0.0263156541271794,frozen/full
positive,"L_7,A_1 - L_8,A_1",3.0505989163695446,A_1_long_gap_recurrence_recovery_task8,3.025055138674897,0.025543777694647662,frozen/full
positive,P_9^pre - P_9^post,3.4154554339990977,E_1_B_1_mixture_adaptation_task9,3.057941841950792,0.35751359204830546,frozen/full
not_available_missing_first_gain,(L_first_pre - L_return_pre) / (L_first_pre - L_first_post),,A_1_rrr_task3,3.45134882049271,,frozen/full
not_available_missing_first_gain,(L_first_pre - L_return_pre) / (L_first_pre - L_first_post),,A_1_rrr_task8,3.1040685685551535,,frozen/full
