episodic_bytes,episodic_rows,leaf_count,merge_count,nise,node_count,prune_count,semantic_bytes,split_count,task_id
190539,12,1,0,0.17388153396451078,1,0,1692,0,0
418450,36,1,2,0.4758758381378505,1,0,1692,2,1
634076,60,1,3,0.6403282233010611,1,0,1692,3,2
767484,76,1,4,0.46982225777256614,1,0,1692,6,3
1171844,120,1,4,0.30849689151924,1,1,1692,9,4
1348692,144,1,6,0.3022590327670208,1,1,1692,12,5
383632,36,1,7,0.7381121191637348,1,1,1692,13,6
610584,60,3,8,0.3707409220849141,5,1,3868,16,7
636696,60,3,10,0.35558709410570816,5,1,3868,18,8
1058876,108,2,12,0.5650890355507482,3,3,2780,21,9
