checkpoint_task,eval_task,eval_name,protocol,memory_view,variant,nll_per_event,accuracy,local_time_mae,events
0,0,task_00_test,frozen,full,frozen/full,3.05439406314016,0.32527264106211473,1.2029747065349234,2109
0,1,task_01_test_pre,frozen,full,frozen/full,3.8718059145171067,0.08333333333333333,1.4979356970366846,2088
0,,anchor_A_1,frozen,full,frozen/full,3.024283262242365,0.3327779100214235,1.2103097321333927,4201
0,,anchor_B_1,frozen,full,frozen/full,3.83840069010801,0.07390791027154664,1.4658356127237908,4235
0,,anchor_C_1,frozen,full,frozen/full,3.254494023172732,0.14955863808322825,1.0781118539663461,3965
0,,anchor_B_prime_1,frozen,full,frozen/full,3.7919244409196935,0.07887920885330822,1.4640099121481778,4247
0,,anchor_A_2,frozen,full,frozen/full,3.153495627376472,0.30400198856574695,1.213924470067528,4023
0,,anchor_X_transient,frozen,full,frozen/full,3.173158150527014,0.2531525101118249,1.1305754700360513,4203
0,,anchor_A_merge,frozen,full,frozen/full,3.012784970773233,0.3250482625482625,1.1466117420712032,4144
0,,anchor_E_1,frozen,full,frozen/full,3.4160920571183904,0.14929025942241803,1.1064216288876079,4086
0,0,task_00_test,fast_adapt,full,fast_adapt/full,3.054288459875506,0.32432432432432434,1.2028373087000768,2109
0,1,task_01_test_pre,fast_adapt,full,fast_adapt/full,3.871334090543433,0.08333333333333333,1.4978274897140562,2088
0,,anchor_A_1,fast_adapt,full,fast_adapt/full,3.0241500120791787,0.33134967864794096,1.21014032452426,4201
0,,anchor_B_1,fast_adapt,full,fast_adapt/full,3.837864935468473,0.07390791027154664,1.4657043583136944,4235
0,,anchor_C_1,fast_adapt,full,fast_adapt/full,3.2536261040205314,0.15031525851197983,1.0778308262289849,3965
0,,anchor_B_prime_1,fast_adapt,full,fast_adapt/full,3.7914303644196914,0.07887920885330822,1.4638803597475631,4247
0,,anchor_A_2,fast_adapt,full,fast_adapt/full,3.1533763353545483,0.30325627641063885,1.213789328988322,4023
0,,anchor_X_transient,fast_adapt,full,fast_adapt/full,3.172897883434963,0.2533904354032834,1.1304296792588744,4203
0,,anchor_A_merge,fast_adapt,full,fast_adapt/full,3.0126644616881855,0.32432432432432434,1.1464606307188057,4144
0,,anchor_E_1,fast_adapt,full,fast_adapt/full,3.41553614201408,0.15002447381302006,1.106226402465701,4086
0,0,task_00_test,online_write,full,online_write/full,3.0542961999724523,0.32432432432432434,1.359693286213591,2109
0,1,task_01_test_pre,online_write,full,online_write/full,3.87118077340939,0.08333333333333333,1.6698408784323382,2088
0,,anchor_A_1,online_write,full,online_write/full,3.0241614275773108,0.33134967864794096,1.3764843856454716,4201
0,,anchor_B_1,online_write,full,online_write/full,3.8377064041432694,0.07390791027154664,1.646668822881947,4235
0,,anchor_C_1,online_write,full,online_write/full,3.253481063125526,0.15031525851197983,1.221356379053782,3965
0,,anchor_B_prime_1,online_write,full,online_write/full,3.791298536123712,0.07887920885330822,1.6294721504965017,4247
0,,anchor_A_2,online_write,full,online_write/full,3.1533861039139253,0.30325627641063885,1.398102655491495,4023
0,,anchor_X_transient,online_write,full,online_write/full,3.172877848809556,0.2533904354032834,1.2914511872467223,4203
0,,anchor_A_merge,online_write,full,online_write/full,3.0126689563875724,0.32432432432432434,1.3018859088722918,4144
0,,anchor_E_1,online_write,full,online_write/full,3.4154613781510705,0.15002447381302006,1.2681833270360996,4086
1,1,task_01_test,frozen,full,frozen/full,3.3357911237811675,0.2193486590038314,1.293157199333454,2088
1,2,task_02_test_pre,frozen,full,frozen/full,3.0610293886294264,0.24809354346720894,0.9886929444631587,1967
1,,anchor_A_1,frozen,full,frozen/full,3.3641210572829108,0.15710545108307547,1.215790942236799,4201
1,,anchor_B_1,frozen,full,frozen/full,3.2206868537623596,0.23565525383707203,1.223723359991837,4235
1,,anchor_C_1,frozen,full,frozen/full,3.073028668359129,0.24564943253467844,1.0062178800566048,3965
1,,anchor_B_prime_1,frozen,full,frozen/full,3.2108276830663787,0.2194490228396515,1.2319723533017792,4247
1,,anchor_A_2,frozen,full,frozen/full,3.463699996989964,0.11359681829480488,1.2102657818776472,4023
1,,anchor_X_transient,frozen,full,frozen/full,3.3764915638755055,0.1287175826790388,1.10846418135228,4203
