adaptation_gain_nll,fwt_eligible,fwt_nll,fwt_status,new_persistent_regimes,post_checkpoint_task,post_nll_per_event,pre_checkpoint_task,pre_nll_per_event,recurrence_of,regime_id,scratch_nll_per_event,shift_type,stage_label,task_id,variant
,False,,excluded_not_unseen_law_task,"[""A_1""]",0,3.0387274324752642,,,,A_1,3.5199755491832807,initial,A_1_initial,0,frozen/full
0.7659838665490861,True,-0.3745445821477076,available,"[""B_1""]",1,3.1841453976101346,0,3.9501292641592207,,B_1,3.575584682011513,novel,B_1_novel,1,frozen/full
0.5148005250388734,True,-0.05001256231978024,available,"[""C_1""]",2,2.67560009551521,1,3.1904006205540836,,C_1,3.1403880582343033,novel,C_1_novel,2,frozen/full
0.07290328747859753,False,,excluded_not_unseen_law_task,[],3,3.2529256773628363,2,3.325828964841434,A_1,A_1,3.478647192243833,exact_recurrence,A_1_exact_recurrence,3,frozen/full
0.08792615563934536,True,0.19668983857034172,available,"[""B_prime_1""]",4,3.075783938273011,3,3.1637100939123566,B_1,B_prime_1,3.3603999324826983,near_recurrence,B_prime_1_near_recurrence,4,frozen/full
0.22884007583429788,True,0.27371949372468185,available,"[""A_2""]",5,2.990111242223669,4,3.2189513180579667,A_1,A_2,3.4926708117826486,specialization,A_2_specialization,5,frozen/full
0.4057548680900096,False,,excluded_not_unseen_law_task,[],6,2.766433675414275,5,3.1721885435042845,C_1,,3.2586115183713176,transient_anomaly,C_1_with_transient_X,6,frozen/full
0.29802384426024586,True,0.1566498964303089,available,"[""A_merge""]",7,3.0213329034221683,6,3.319356747682414,A_1|A_2,A_merge,3.476006644112723,merge,A_merge,7,frozen/full
0.019888546017302833,False,,excluded_not_unseen_law_task,[],8,2.9970113458383056,7,3.0168998918556085,A_1,A_1,3.4597259812821637,long_gap_recurrence,A_1_long_gap_recurrence,8,frozen/full
0.43218068007563915,True,-0.09568678323276103,available,"[""E_1""]",9,3.087387630184433,8,3.5195683102600723,,,3.4238815270273113,mixture,E_1_B_1_mixture,9,frozen/full
