checkpoint_task,evaluation_scope,first_seen_task,nise_mean,nise_median,regime_id,sequence_count,variant
0,seen_law,0,0.10669345605595613,0.10295547367793526,A_1,64,frozen/full
0,ood_unseen,5,0.10659884377036573,0.1054136433940003,A_2,64,frozen/full
0,ood_unseen,7,0.10420725320562373,0.10184181631005629,A_merge,64,frozen/full
0,ood_unseen,1,0.8568552584623637,0.8554795170808085,B_1,64,frozen/full
0,ood_unseen,4,0.8732452894194814,0.8711731286753841,B_prime_1,64,frozen/full
0,ood_unseen,2,0.7259814256140886,0.7249645729814721,C_1,64,frozen/full
0,ood_unseen,9,0.7228418457250594,0.7284787460117848,E_1,64,frozen/full
0,ood_unseen,6,0.28005415673688394,0.2615663535511417,X_transient,64,frozen/full
1,seen_law,0,0.6384681792192994,0.62535198134617,A_1,64,frozen/full
1,ood_unseen,5,0.6257299025633003,0.6105515478086725,A_2,64,frozen/full
1,ood_unseen,7,0.633450980425865,0.6208325422360028,A_merge,64,frozen/full
1,seen_law,1,0.053876152664666006,0.05231161585036112,B_1,64,frozen/full
1,ood_unseen,4,0.056644562624367865,0.05451227536484851,B_prime_1,64,frozen/full
1,ood_unseen,2,0.8231908433616627,0.824260077561023,C_1,64,frozen/full
1,ood_unseen,9,0.7120067457902857,0.706539496349443,E_1,64,frozen/full
1,ood_unseen,6,0.6352072477030112,0.6324165551168799,X_transient,64,frozen/full
2,seen_law,0,0.5539756689830521,0.547804647953559,A_1,64,frozen/full
2,ood_unseen,5,0.5950147792910611,0.5800600566411646,A_2,64,frozen/full
2,ood_unseen,7,0.5681109215863605,0.5616829654812305,A_merge,64,frozen/full
2,seen_law,1,0.4825123782658873,0.4601469991878463,B_1,64,frozen/full
2,ood_unseen,4,0.48904090897155034,0.4725077266356151,B_prime_1,64,frozen/full
2,seen_law,2,0.21126694299792592,0.21838716109452005,C_1,64,frozen/full
2,ood_unseen,9,0.7140245555452067,0.7126432521134378,E_1,64,frozen/full
2,ood_unseen,6,0.6039050687599862,0.598010673399491,X_transient,64,frozen/full
3,seen_law,0,0.4479681513797685,0.44906461742385034,A_1,64,frozen/full
3,ood_unseen,5,0.47051239056983724,0.46563915781845877,A_2,64,frozen/full
3,ood_unseen,7,0.4557730445834491,0.45536126498879514,A_merge,64,frozen/full
3,seen_law,1,0.45620297632079315,0.4407724817512385,B_1,64,frozen/full
3,ood_unseen,4,0.47355588345918187,0.46331677850348557,B_prime_1,64,frozen/full
3,seen_law,2,0.2132172287387959,0.22073950192940456,C_1,64,frozen/full
3,ood_unseen,9,0.6323198894036594,0.6363025818470132,E_1,64,frozen/full
3,ood_unseen,6,0.4849421823083851,0.48217673101878555,X_transient,64,frozen/full
4,seen_law,0,0.4060794514897333,0.3984805153521762,A_1,64,frozen/full
4,ood_unseen,5,0.406897936991964,0.40267779313600616,A_2,64,frozen/full
4,ood_unseen,7,0.4077798701646683,0.40366704406310683,A_merge,64,frozen/full
4,seen_law,1,0.3635723163328309,0.36337084563709415,B_1,64,frozen/full
4,seen_law,4,0.38372766298358096,0.3828820899305667,B_prime_1,64,frozen/full
