expected,formula,left_value,metric,right_value,value,variant
near_zero_or_negative,"L_2,A_1 - L_0,A_1",3.285943757520066,A_1_retention_before_task3,3.0067205885369788,0.2792231689830871,frozen/full
positive,"L_2,A_1 - L_3,A_1",3.285943757520066,A_1_exact_recurrence_recovery_task3,3.216537221333323,0.06940653618674286,frozen/full
near_zero_or_negative,"L_5,B_1 - L_4,B_1",3.405354981045233,B_1_near_recurrence_impact_task5,3.235123885874202,0.17023109517103086,frozen/full
positive,"L_4,B_prime_1 - L_5,B_prime_1",3.191972519219104,B_prime_1_near_recurrence_gain_task5,3.3506759524990986,-0.1587034332799946,frozen/full
near_zero_or_negative,"L_6,A_1 - L_5,A_1",3.2784490297022844,A_1_specialization_impact_task6,2.945007553046103,0.3334414766561813,frozen/full
positive,"L_5,A_2 - L_6,A_2",3.066792876158014,A_2_specialization_gain_task6,3.382344797064705,-0.31555192090669104,frozen/full
positive,"L_{5,6}^control - L_{6,6}^control",3.2782711242074307,controls_task_06_no_transient_transient_control_adaptation_task6,2.8386754000595285,0.43959572414790227,frozen/full
near_zero_or_negative,"(L_{5,6} - L_{6,6}) - (L_{5,6}^control - L_{6,6}^control)",0.4057548680900096,controls_task_06_no_transient_transient_excess_adaptation_task6,0.43959572414790227,-0.033840856057892665,frozen/full
near_zero_or_negative,"L_7,A_1 - L_0,A_1",2.9504305161455933,A_1_long_gap_reference_task8,3.0067205885369788,-0.056290072391385504,frozen/full
positive,"L_7,A_1 - L_8,A_1",2.9504305161455933,A_1_long_gap_recurrence_recovery_task8,2.9262017456868294,0.024228770458763815,frozen/full
positive,P_9^pre - P_9^post,3.5195683102600723,E_1_B_1_mixture_adaptation_task9,3.087387630184433,0.43218068007563915,frozen/full
not_available_missing_first_gain,(L_first_pre - L_return_pre) / (L_first_pre - L_first_post),,A_1_rrr_task3,3.325828964841434,,frozen/full
not_available_missing_first_gain,(L_first_pre - L_return_pre) / (L_first_pre - L_first_post),,A_1_rrr_task8,3.0168998918556085,,frozen/full
