checkpoint_task,eval_task,eval_name,protocol,memory_view,variant,nll_per_event,accuracy,local_time_mae,events
0,0,task_00_test,frozen,full,frozen/full,3.0387274324752642,0.34186818397344715,1.186933415260514,2109
0,1,task_01_test_pre,frozen,full,frozen/full,3.9501292641592207,0.08045977011494253,1.539427991114357,2088
0,,anchor_A_1,frozen,full,frozen/full,3.0067205885369788,0.3463461080695073,1.1906549666671917,4201
0,,anchor_B_1,frozen,full,frozen/full,3.9178370992577203,0.07319952774498228,1.5151658095322647,4235
0,,anchor_C_1,frozen,full,frozen/full,3.3017888938644044,0.1205548549810845,1.0552889036200237,3965
0,,anchor_B_prime_1,frozen,full,frozen/full,3.8695101916495283,0.07840828820343772,1.512058128714421,4247
0,,anchor_A_2,frozen,full,frozen/full,3.145747604578726,0.31717623663932387,1.199781042824863,4023
0,,anchor_X_transient,frozen,full,frozen/full,3.184679044532458,0.25862479181536996,1.1196526312527417,4203
0,,anchor_A_merge,frozen,full,frozen/full,2.9967747710386297,0.33687258687258687,1.1305944956407583,4144
0,,anchor_E_1,frozen,full,frozen/full,3.4728013616068014,0.14415075868820362,1.0854195535503879,4086
0,0,task_00_test,fast_adapt,full,fast_adapt/full,3.038735857728874,0.3404457088667615,1.186869552995764,2109
0,1,task_01_test_pre,fast_adapt,full,fast_adapt/full,3.949659983317057,0.08093869731800767,1.5393253048717748,2088
0,,anchor_A_1,fast_adapt,full,fast_adapt/full,3.0067108960640883,0.3444417995715306,1.1905674615436381,4201
0,,anchor_B_1,fast_adapt,full,fast_adapt/full,3.9173072607767767,0.07343565525383708,1.5150436041065203,4235
0,,anchor_C_1,fast_adapt,full,fast_adapt/full,3.3009636242783538,0.12206809583858765,1.0550868954363868,3965
0,,anchor_B_prime_1,fast_adapt,full,fast_adapt/full,3.869022575074823,0.07864374852837297,1.511938047936756,4247
0,,anchor_A_2,fast_adapt,full,fast_adapt/full,3.145721912502561,0.31742480735769324,1.1997149304137016,4023
0,,anchor_X_transient,fast_adapt,full,fast_adapt/full,3.1844971189605547,0.25767309064953603,1.1195803516795457,4203
0,,anchor_A_merge,fast_adapt,full,fast_adapt/full,2.9967684469628058,0.33663127413127414,1.130515634323179,4144
0,,anchor_E_1,fast_adapt,full,fast_adapt/full,3.4722687155956504,0.14488497307880568,1.0852912953246532,4086
0,0,task_00_test,online_write,full,online_write/full,3.0387548327590825,0.3399715504978663,1.3582523485328588,2109
0,1,task_01_test_pre,online_write,full,online_write/full,3.9495687408237163,0.08093869731800767,1.7364954307632543,2088
0,,anchor_A_1,online_write,full,online_write/full,3.006729192166751,0.34467983813377767,1.3642215686618584,4201
0,,anchor_B_1,online_write,full,online_write/full,3.917221497827888,0.07319952774498228,1.721737524898505,4235
0,,anchor_C_1,online_write,full,online_write/full,3.300924042508025,0.12206809583858765,1.2092481949139964,3965
0,,anchor_B_prime_1,online_write,full,online_write/full,3.8689628570871912,0.07864374852837297,1.7006620711186247,4247
0,,anchor_A_2,online_write,full,online_write/full,3.1457406792726266,0.31742480735769324,1.396617007038778,4023
0,,anchor_X_transient,online_write,full,online_write/full,3.1845128529776234,0.25767309064953603,1.2913414574639932,4203
0,,anchor_A_merge,online_write,full,online_write/full,2.9967756555550533,0.33663127413127414,1.2925172784225476,4144
0,,anchor_E_1,online_write,full,online_write/full,3.472261854653929,0.14488497307880568,1.2605871415696581,4086
