anchor_index,checkpoint,checkpoint_task,evaluation_scope,events,first_seen_task,nise,nise_type_0,nise_type_1,nise_type_2,nise_type_3,nise_type_4,nise_type_5,nise_type_6,nise_type_7,plot_path,regime_id,variant
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_00_best.pt,0,seen_law,62,0,0.0966730761550408,0.11066561399270375,0.0844031556181966,0.057910610198320694,0.09845665135460693,0.21593587360066166,0.19332519839932508,0.2297941890394917,0.15137450548891349,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/native/intensity_curves/checkpoint_task_00/A_1_000.png,A_1,frozen/full
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_00_best.pt,0,seen_law,69,0,0.08603083760892272,0.09266958164720077,0.0722498807046955,0.061347134988681704,0.0906662401075415,0.21831326961386122,0.193351261828888,0.2301437594088533,0.17289650194499206,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/native/intensity_curves/checkpoint_task_00/A_1_001.png,A_1,frozen/full
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_00_best.pt,0,seen_law,57,0,0.14338674007110658,0.1714057572645382,0.12291967492202639,0.06502645803162244,0.27092645128278503,0.20549400392512426,0.22280325032326598,0.2245760662603337,0.18723205680029706,,A_1,frozen/full
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_00_best.pt,0,seen_law,54,0,0.11866164543382385,0.14361588185419472,0.10239470033130849,0.050305678817763703,0.11059682500614892,0.24765470152058813,0.19856982250084393,0.2122780186237882,0.18096547359226364,,A_1,frozen/full
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_00_best.pt,0,seen_law,77,0,0.1471079903395476,0.15380063347943917,0.16130263463042732,0.07410274483867439,0.1043080312208722,0.20753409372844295,0.19651884669969946,0.24838399104763112,0.18252088229767244,,A_1,frozen/full
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_00_best.pt,0,seen_law,49,0,0.1027006530521044,0.11590381567032763,0.08777719474049897,0.04933869610812302,0.10880260840768309,0.23951419010511946,0.18835055178717203,0.18225848615227752,0.16961497076057613,,A_1,frozen/full
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_00_best.pt,0,seen_law,79,0,0.08582561679330374,0.10248754214374033,0.06973959574766703,0.03691623482081565,0.08760970229305241,0.23865424717569617,0.18431990279257582,0.19999131852042257,0.14596583375890862,,A_1,frozen/full
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_00_best.pt,0,seen_law,62,0,0.11975361980503905,0.14362383355755656,0.09747164929081355,0.05301627154754088,0.141434311007975,0.1763564385620194,0.1963207185498607,0.1937295877807515,0.15159953979540422,,A_1,frozen/full
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_00_best.pt,0,seen_law,55,0,0.08594200599695348,0.09962532888060277,0.07430571723200666,0.04898337337319621,0.1254634903201353,0.15405434837636456,0.2051352436172517,0.2260340648481735,0.14383992048922775,,A_1,frozen/full
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_00_best.pt,0,seen_law,77,0,0.11925726720147062,0.1590728643962758,0.10654453276833652,0.05461904238958728,0.0937301380666798,0.2573671256239867,0.2053252766282715,0.25005891788314916,0.20138658846970173,,A_1,frozen/full
