episodic_bytes,episodic_rows,leaf_count,merge_count,nise,node_count,prune_count,semantic_bytes,split_count,task_id
180619,12,1,0,0.10669345605595613,1,0,1692,0,0
498708,48,1,2,0.34617216594198275,1,0,1692,2,1
728796,72,2,3,0.4159183300822884,3,0,2780,3,2
717980,72,2,4,0.3724627854797859,3,0,2780,3,3
729120,72,1,5,0.3648127607671018,1,1,1692,5,4
940208,96,1,6,0.4046332935008888,1,1,1692,6,5
956648,96,3,6,0.5405680853240883,5,1,3868,8,6
972512,96,5,6,0.35253283231225896,9,1,6044,10,7
948332,96,2,9,0.4180795713010692,3,1,2780,10,8
940208,96,1,9,0.6500363266668613,1,2,1692,10,9
