Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -3.05073,  0.33333,  0.63805
1, validation, -3.01902,  0.33333,  0.60741
2, train, -3.03590,  0.33333,  0.58983
2, validation, -2.99965,  0.33333,  0.57215
3, train, -3.00376,  0.33333,  0.54989
3, validation, -2.98063,  0.33333,  0.53757
4, train, -2.99195,  0.33333,  0.53626
4, validation, -2.96198,  0.33333,  0.50343
5, train, -2.96951,  0.33333,  0.51358
5, validation, -2.94370,  0.33333,  0.46957
6, train, -2.95122,  0.33333,  0.44265
6, validation, -2.92576,  0.33333,  0.43723
7, train, -2.93496,  0.33333,  0.41920
7, validation, -2.90818,  0.33333,  0.40611
8, train, -2.92266,  0.33333,  0.39170
8, validation, -2.89092,  0.33333,  0.37636
9, train, -2.90292,  0.33333,  0.36567
9, validation, -2.87395,  0.33333,  0.34769
10, train, -2.88910,  0.33333,  0.31415
10, validation, -2.85728,  0.33333,  0.32094
11, train, -2.86174,  0.33333,  0.31416
11, validation, -2.84088,  0.33333,  0.29519
12, train, -2.85006,  0.33333,  0.25501
12, validation, -2.82479,  0.33333,  0.27148
13, train, -2.84435,  0.33333,  0.23388
13, validation, -2.80895,  0.33333,  0.25012
14, train, -2.81459,  0.33333,  0.23080
14, validation, -2.79336,  0.33333,  0.23056
15, train, -2.79656,  0.33333,  0.21382
15, validation, -2.77800,  0.33333,  0.21273
16, train, -2.78293,  0.33333,  0.21405
16, validation, -2.76290,  0.33333,  0.19634
17, train, -2.78181,  0.33333,  0.18601
17, validation, -2.74802,  0.33333,  0.18259
18, train, -2.76633,  0.33333,  0.17726
18, validation, -2.73337,  0.33333,  0.17081
19, train, -2.74178,  0.33333,  0.17372
19, validation, -2.71897,  0.33333,  0.16092
20, train, -2.73064,  0.33333,  0.16374
20, validation, -2.70480,  0.33333,  0.15313
