Epoch,Split,Log-likelihood,Accuracy,RMSE,num_events,SelectionMetric
1,train,-3.319170495758544,,,8134,validation_loglike
1,valid,-2.961065657808399,,,1905,validation_loglike
2,train,-2.8587749435240966,,,8134,validation_loglike
2,valid,-2.8466407275262466,,,1905,validation_loglike
3,train,-2.725884645085444,,,8134,validation_loglike
3,valid,-2.8433065739829395,,,1905,validation_loglike
4,train,-2.7018302803048933,,,8134,validation_loglike
4,valid,-2.8087862430282153,,,1905,validation_loglike
5,train,-2.6511820560302435,,,8134,validation_loglike
5,valid,-2.7845344283136484,,,1905,validation_loglike
6,train,-2.6189348433273913,,,8134,validation_loglike
6,valid,-2.7714126066272966,,,1905,validation_loglike
7,train,-2.5981103143441113,,,8134,validation_loglike
7,valid,-2.764812223179134,,,1905,validation_loglike
8,train,-2.5769700293521023,,,8134,validation_loglike
8,valid,-2.7547643946850395,,,1905,validation_loglike
9,train,-2.5878978285591345,,,8134,validation_loglike
9,valid,-2.7052757443405513,,,1905,validation_loglike
10,train,-2.5315071670611013,,,8134,validation_loglike
10,valid,-2.757614624343832,,,1905,validation_loglike
11,train,-2.554350853669781,,,8134,validation_loglike
11,valid,-2.683968996062992,,,1905,validation_loglike
12,train,-2.510491023404844,,,8134,validation_loglike
12,valid,-2.698171444389764,,,1905,validation_loglike
13,train,-2.5272721946459304,,,8134,validation_loglike
13,valid,-2.7112676345144355,,,1905,validation_loglike
14,train,-2.5225178456171626,,,8134,validation_loglike
14,valid,-2.719977751804462,,,1905,validation_loglike
15,train,-2.5230977321274897,,,8134,validation_loglike
15,valid,-2.679925873523622,,,1905,validation_loglike
16,train,-2.491512046271822,,,8134,validation_loglike
16,valid,-2.661188945620079,,,1905,validation_loglike
17,train,-2.479133450255102,,,8134,validation_loglike
17,valid,-2.658703709399606,,,1905,validation_loglike
18,train,-2.4745680745942957,,,8134,validation_loglike
18,valid,-2.671871411581365,,,1905,validation_loglike
19,train,-2.4778605813560364,,,8134,validation_loglike
19,valid,-2.670696973425197,,,1905,validation_loglike
20,train,-2.4774809537896485,,,8134,validation_loglike
20,valid,-2.6671569984416013,,,1905,validation_loglike
21,train,-2.4688988735554465,,,8134,validation_loglike
21,valid,-2.6404545501148293,,,1905,validation_loglike
22,train,-2.4527614603823458,,,8134,validation_loglike
22,valid,-2.636221497703412,,,1905,validation_loglike
23,train,-2.4505257157456355,,,8134,validation_loglike
23,valid,-2.6361123072506563,,,1905,validation_loglike
24,train,-2.444413015582739,,,8134,validation_loglike
24,valid,-2.6352064878608923,,,1905,validation_loglike
25,train,-2.441350302357389,,,8134,validation_loglike
25,valid,-2.623049181840551,,,1905,validation_loglike
26,train,-2.427906059826039,,,8134,validation_loglike
26,valid,-2.639375717683727,,,1905,validation_loglike
27,train,-2.4334895385111874,,,8134,validation_loglike
27,valid,-2.660884186351706,,,1905,validation_loglike
28,train,-2.4559523969602903,,,8134,validation_loglike
28,valid,-2.6625820209973754,,,1905,validation_loglike
29,train,-2.4640172616486353,,,8134,validation_loglike
29,valid,-2.6512328781167978,,,1905,validation_loglike
30,train,-2.4518862279475044,,,8134,validation_loglike
30,valid,-2.6290185162401576,,,1905,validation_loglike
31,train,-2.4378947550405705,,,8134,validation_loglike
31,valid,-2.6176011934055117,,,1905,validation_loglike
32,train,-2.426273493207524,,,8134,validation_loglike
32,valid,-2.607635129593176,,,1905,validation_loglike
33,train,-2.4177694515306123,,,8134,validation_loglike
33,valid,-2.592809834317585,,,1905,validation_loglike
34,train,-2.410117831017949,,,8134,validation_loglike
34,valid,-2.6108098548228345,,,1905,validation_loglike
35,train,-2.4214884089931155,,,8134,validation_loglike
35,valid,-2.6202509842519683,,,1905,validation_loglike
36,train,-2.428397582677649,,,8134,validation_loglike
36,valid,-2.593494709645669,,,1905,validation_loglike
37,train,-2.416664905796656,,,8134,validation_loglike
